Last Name,First Name,"The
typical chief executive officer of a publicly traded corporation in the
U.S. is paid more than his or her marginal contribution
to the firm's value.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Mandating that U.S. publicly listed corporations must allow
shareholders to cast a non-binding vote on executive compensation was a good
idea.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Disagree,3,Commonly asserted but it is very hard to tell.  The fact that CEO pay fell during the 2000s is not widely known.  ,Uncertain,5,"We know that it does not seemed to have changed outcomes much so far.  Does take up some resources, but the threat might wind up being ok. ",,,,,,,,,,,,,,,,,,
Klenow,Pete,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Lazear,Edward,Disagree,6,"Obviously, there are abuses, but the exec. market is reasonably competitive.  Some contribute far more to shareholder value than their pay.",Disagree,8,Mandates are not necessary.  Potential shareholders do not have to own shares in companies whose corp gov is not to their liking.,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,7,,Agree,5,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Uncertain,2,,Agree,3,,,,,,,,,,,,,,,,,,,
Rouse,Cecilia,No Opinion,,I do not know enough about the empirical evidence to weigh in.,No Opinion,,"Sounds like a good idea in theory, but I do not know enough about implementation to weigh in.",,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,6,US CEO current pay much higher than in other countries and than in the past suggesting over-pricing,Uncertain,4,Unlikely to have a strong impact,,,,,,,,,,,,,,,,,,
Scheinkman,José,Agree,7,,Agree,4,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Uncertain,4,"While trends in CEO pay may suggest this, I know of no hard evidence, particularly none that bears on the ""typical"" US corporation.",Disagree,7,It is hard to see how a non-binding vote by generally uninformed shareholders is likely to have benefits exceeding its coss.,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Agree,6,,Agree,8,,,,,,,,,,,,,,,,,,,
Stock,James,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,No Opinion,,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Agree,4,2 Reasons: 1. Winner's curse. 2 asymetric payoffs (CEO wins when things go well and does not suffer when things go sour. Combo = overpay.,Agree,6,More transparency is good.  Better would be to require disclosure of the process consultants use to set pay. Benchmarking is anit market.,,,,,,,,,,,,,,,,,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Uncertain,3, If you had asked the question the other way (we know that they are paid their marginal valuation) I would have strongly diagreed. ,Strongly Agree,9,"The cost is minimal, while the benefit of transparency and societal pressure against excesses high.",,,,,,,,,,,,,,,,,,
