Last Name,First Name,Rising inequality is straining the health of liberal democracy.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Enacting more redistributive expenditures and policies would be likely to limit the rise of populism in Europe.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"European governments should allocate more resources to policies that would be likely to limit the rise of populism in Europe, even if it means higher public debt or lower public spending in other areas.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Guerrieri,Veronica,Agree,7,,Agree,7,,Agree,8,
Guiso,Luigi,Agree,7,"It is not so much inequality per se, but the economic insecurity faced by people in western countries  ",Uncertain,8,Populism is spread out in many EU countries that already distribute a lot   ,Disagree,8,"They should adopt policies to fight populism, but expansionary fiscal policies are not the medicine.  "
Honohan,Patrick,Agree,5,,Agree,5,,Agree,,
Javorcik,Beata,Agree,10,,Uncertain,5,,Uncertain,6,
Kőszegi,Botond,Agree,3,,Agree,2,,Strongly Agree,8,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,"Not inequality per se undermines democracy, but the degree to which being rich or poor becomes hereditary.",Disagree,7,"Populism - as today's new nationalism - is driven by doubts about future living standard and way of life, rather than inequality at home.",Disagree,7,Fighting populism-nationalism needs bold decisions promoting a sense of relevance and pride for European politics. That is no spending issue
Krusell,Per,Strongly Agree,7,,Agree,6,,Agree,6,
La Ferrara,Eliana,Strongly Agree,8,,Agree,7,,Uncertain,5,
Leuz,Christian,Agree,4,Feels that way @moment. Theories to support; evidence less clear. Also argument: greater econ. inequality -> greater political inequality,Uncertain,3,"If link in A) is true & policies successful in limiting inequality, then agree. But evidence for link in A) is tenuous.",Uncertain,2,"While limiting extreme populism likely good, focus should be on inequality& its neg effects. Populism can be exercise of democratic rights. "
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,6,Rising inequality is a contributing factor; but real or imagined threats from immigration are more salient in Europe. Populists exploit both,Agree,6,Announcement effects of such policies could have short-term benefits; but the direct effects will only be long-term,Agree,6,"Retreating from austerity in UK, or boosting Eurozone aggregate demand, plus efforts to reduce inequality should help, if sold positively"
O'Rourke,Kevin,Agree,8,,Agree,8,,Agree,8,
Pagano,Marco,Agree,7,,Agree,6,,Uncertain,7,"It very much depends on the fiscal space of the country being considered: e.g., a positive reply is more suited to Germany than to Italy."
Pastor,Lubos,Strongly Agree,10,The median voter becomes increasingly frustrated. The enclosed paper shows theoretically how rising inequality boosts populism.,Agree,10,"But not all kinds of redistribution work, and redistribution alone is not enough. Many peoples’ concerns are non-economic.",Uncertain,10,"Other approaches, such as giving more protection for communal experiences of Europeans and their communities, could achieve more than money."
Persson,Torsten,Agree,6,,Agree,6,"Populism does not necessarily have a common cause across European countries, but in some countries redistribution might help",Agree,6,Same qualifier as previous question
Pissarides,Christopher,Strongly Agree,8,The idea of liberal democracy is that there is sharing in the rewards from growth.,Strongly Agree,10,"Only proviso is that they are done in a way that targets mainly poverty - e.g., as in the Nordics",Strongly Agree,10,Populism is the biggest risk to European unity
Portes,Richard,Strongly Agree,8,,Agree,7,,Strongly Agree,9,
Prendergast,Canice,Strongly Agree,9,,Uncertain,7,,Agree,8,
Reichlin,Lucrezia,Agree,7,,Agree,7,,Agree,8,
Repullo,Rafael,Agree,8,,Uncertain,4,,Uncertain,4,
Rey,Hélène,Strongly Agree,8,"Populist parties/ extreme right, left exploit anger and resentment (Brexit, Trump, Liga, etc...). Lobbies/large donations pervert democracy.",Agree,7,"Details matter a lot. Political process, education also need reforms.",Uncertain,6,Depends on policy. Scrapping carbon tax to please Gilets Jaunes not a good policy.
Schoar,Antoinette,Agree,6,,Uncertain,6,,Uncertain,6,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van Reenen,John,Agree,7,Inequality & stagnation of median pay more of an influence; e.g. Brexit,Agree,6,,Agree,6,
Vickers,John,Uncertain,3,The health of liberal democracy is under strain not only in countries where inequality has risen,Uncertain,3,Causes of the rise of populism do not seem well enough understood,Uncertain,3,"While some policies that might curb the rise of populism in Europe have merit, some others plainly do not"
Voth,Hans-Joachim,Agree,5,,Uncertain,5,Redistribution is already very high and it does not seem ti mollify people much,Disagree,7,
Weder di Mauro,Beatrice,Agree,8,But income inequality is only one of the issues and in many countries not the main one.  In many regional inequality is more important.,Agree,8,,Agree,9,
Whelan,Karl,Agree,3,More a political science question than an economics one. Stagnant median earnings perhaps a greater issue than inequality per se.,Uncertain,8,Europe already does plenty of redistribution. And some populist parties (Brexit\Lega) actually have anti-redistribution policy platforms.,Uncertain,5,Unclear to me which areas of spending would do this. Better to evaluate spending proposals on their objective merits.
Wyplosz,Charles,Agree,4,"It's one factor, among several.",Uncertain,4,Much is done in France and yet we had the Yellow Vests. ,Disagree,3,This could and should be done without increasing deficits.
Zilibotti,Fabrizio,Agree,9,,Uncertain,5,,Agree,9,
