Last Name,First Name,"Creating a ‘28th regime’ - an optional, EU-wide code of corporate, securities and insolvency law that firms could adopt and which would pre-empt the application of any of the 27 national rulebooks - would be substantially more effective in building a European capital market than continuing efforts to achieve harmonisation of the national rulebooks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Creating the 28th regime would substantially increase the supply of capital to new ventures and growing businesses.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"A well-functioning and efficient single EU capital market requires a strengthened European Securities and Markets Authority, comparable to the US Securities and Exchange Commission, to operate as a single market regulator.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Honohan,Patrick,Agree,4,"More promising than harmonization, but still unclear how successful 28th regime would be.",Uncertain,7,Not clear that the lack of a single legal regime is the main barrier.,Strongly Agree,8,
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Uncertain,8,"Building a harmonized regime is not working, so we can forget that. Building a new regime, a 28th one, is an option, but it is not the only one. An equivalent, though much cheaper solution would be to let firms choose among existing (27) regimes. Luxembourg as EU Delaware?",Uncertain,7,"Given my answer to the previous question, this one is a no-brainer...",Strongly Disagree,9,"ESMA is the wrong institution to pick for a European SEC. It is set up as a democratic, college-like regulator rather than a technical supervisory team, but rather representatives of their respective. governments. We desperately need an. independent and competent authority."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,8,Time is now of the essence. There is considerable evidence that EU harmonization of rules is slow and not very effective. EU harmonization with national implementation can even increase differences across EU markets (see link below). ,Agree,5,Reducing regulatory obstacles and differences in rules via 28th regime should increase supply of capital to public and private firms.,Agree,5,"National regulatory agencies differ in capabilities, funding, etc. So even if there was a single EU rule book or 28th regime, without a single market regulator, there would be divergence and patchwork in implementation and enforcement. "
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,9,,Strongly Agree,9,,Agree,9,
Pagano,Marco,Strongly Agree,9,,Agree,9,,Strongly Agree,10,
Pastor,Lubos,Agree,9,,Agree,9,,Agree,9,
Portes,Richard,Strongly Agree,10,,Agree,8,,Strongly Agree,10,
Prendergast,Canice,Uncertain,6,,Disagree,3,,Agree,3,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Agree,8,,Agree,8,,Agree,8,
Reis,Ricardo,Agree,8,,Agree,7,,Agree,7,
Repullo,Rafael,Strongly Agree,8,,Agree,8,,Agree,8,
Rey,Hélène,Strongly Agree,9,,Strongly Agree,8,,Strongly Agree,9,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Agree,5,,Agree,5,,Strongly Agree,6,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Tenreyro,Silvana,Agree,5,,Agree,5,,Agree,5,
Van der Ploeg,Rick,Agree,6,,Agree,6,,Agree,6,
Vickers,John,Uncertain,4,,Uncertain,4,,Agree,4,
Voth,Hans-Joachim,Uncertain,7,,Disagree,9,,Agree,8,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,8,"Sure, but agreeing on the 28th regime could be very difficult and might produce a monster.",Agree,8,"Iincrease, yes, but ""substantially""?",Strongly Agree,8,
