Last Name,First Name,a) The experience of the past 10 years suggests that Western-led economic sanctions do not substantially deter the target countries from their course of action.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"b) Had the G7 instituted a complete energy embargo in 2022, Russia's current military and economic position would be substantially worse.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"c) Had the G7 instituted a complete energy embargo in 2022, the world economy would have faced substantially higher oil prices.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Reis,Ricardo,Agree,7,"(i) The West falls short of fully enforcing its sanctions. (ii) The economic damage of sanctions is real but not large enough to offset the perceived political benefits. (iii) The damage is a flow over time, while the political benefits to the target leader are seen as immediate.",Strongly Agree,8,"Significantly worse yes, but large enough to deter Russia's motivation to invade anyway, I am less sure.",Uncertain,7,"Yes in the short un, but within months, or a few years, the supply is quite elastic as alternatives would arise."
Repullo,Rafael,Agree,4,,Strongly Agree,4,,Uncertain,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,,Uncertain,7,It is difficult to imagine that this would have been feasible given that many countries were eager to buy the supply.,Agree,8,
Storesletten,Kjetil,Uncertain,4,,Agree,5,,Agree,6,
Sturm,Daniel,Uncertain,4,,Agree,4,,Disagree,5,
Tenreyro,Silvana,Agree,4,,Agree,4,,Agree,1,
Van der Ploeg,Rick,Agree,6,,Agree,7,,Agree,7,
Vickers,John,Uncertain,3,,Uncertain,3,,Uncertain,3,
Voth,Hans-Joachim,Agree,8,,Uncertain,7,all the evidence from WW1+2 suggests that blockades can work; an embargo is already too mild,Uncertain,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,4,,Agree,5,Assuming that the embargo is effective enough...,Disagree,5,
