Last Name,First Name,The US intervention in Venezuela will have no measurable impact on the world oil price over the next 12 months.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in the profitability of US energy companies over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in economic growth in Venezuela over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Obstfeld,Maurice,Agree,3,Exports are unlikely to ramp up quickly.  ,Disagree,3,"Many obstacles. E.g., there are old legal claims that any company hoping to reactivate exploration in Venezuela would have to navigate. In the Iraqi precedent, these were canceled by the Bush administration and the UN. Venezuelan oil is in worse shape than Iraq's after the war.",Disagree,3,"The situation on the ground is volatile and dangerous, and the US has now credible plan to stabilize it."
Pathak,Parag,Uncertain,1,,Uncertain,1,,Uncertain,1,
Samuelson,Larry,Agree,8,It is unlikely that Venezuelan oil production changes enough in the next 12 months to affect oil prices.,Agree,4,"There is so much uncertainty that it is difficult to make such a prediction, but the US administration appears to view gains by US oil companies as important.",Agree,4,"Again, this could work out in so many different ways that it is difficult to predict, but if this leads to a lifting of US sanctions and political stability (both big ifs), the economy could well improve."
Scheinkman,José,Agree,8,,Uncertain,7," While oil refiners in the Gulf will be able to access larger share of  Venezuelan  production and avoid  current 10% import duties affecting Canadian oil, comments from Exon's CEO show that private investment in Venezuelan oil production are unlikely to come fast enough.",Uncertain,6,"While Chavismo destroyed the economy and we should expect some bounce back, long-run future performance still depends on finding adequate political system and  leadership for Venezuela.  "
Schmalensee,Richard,Strongly Agree,7,,Strongly Disagree,7,"The intervention does not seem to have produced many attractive investment opportunities, few if any with short-term payoffs.",Uncertain,5,"It seems possible, but the rhetoric on both sides suggests this is unlikely."
Scott Morton,Fiona,Agree,5,,Disagree,8,,Disagree,8,
Shapiro,Carl,Strongly Agree,8,,Strongly Disagree,8,,Uncertain,8,
Shimer,Robert,Agree,5,,Uncertain,5,,Agree,5,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Disagree,3,"It signals that the U.S. is willing to go to extraordinary lengths to increase supply and hold down price, affecting price expectations. That said, Brent futures have returned to pre-incursion levels",Agree,4,"The most likely channel is through U.S. seizures of Venezuelan oil which would then be used to pay the Exxon Mobil and ConocoPhillips claims from the 2000s. Lots of uncertainty, Trump and Wright provide different takes on this.",Uncertain,3,"Maybe yes: Reduction in uncertainty and oil company investment with local spillovers. Maybe no: None of the actions so far seem to take everyday Venezuelans in to account, and seizing their oil tankers doesn't help their finances."
Stokey,Nancy,Uncertain,3,,Uncertain,3,,Uncertain,3,
Syverson,Chad,Uncertain,10,,Disagree,10,,Disagree,10,
Thaler,Richard,Agree,3,,Strongly Disagree,3,,Disagree,3,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Werning,Ivan,Uncertain,6,"The current share of world oil production is low and increasing it significantly is uncertain and takes time, mitigating the price impact. (Sudden changes in short run have greater price effects.)",Uncertain,1,,Uncertain,7,"Quite uncertain but there is definite huge upside potential for Venezuela and growth without Maduro iff there is regime change or large shift its economic policies. even if this happens, interim transition could be messy and benefits delayed."
