Last Name,First Name,"Given the social and regulatory pressures to keep prices down for drugs and vaccines to treat Covid-19, the financial incentives for pharmaceutical companies to invest in such products are below the value of the investment to society.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Government commitments to pay developers and manufacturers above average costs for an effective vaccine or drug treatments for Covid-19 would accelerate production.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"Given the positive externalities from vaccination, an effective Covid-19 vaccine should have priority in public healthcare funding even in countries where other diseases cause more death and disability.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Neary,Peter,Agree,6,,Strongly Agree,1,,Uncertain,6,Switching funding away from existing programs may not be wise in all cases. Extra funding should be targeted to a vaccination program
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,6,,Agree,6,,Uncertain,4,
Pastor,Lubos,Agree,3,,Agree,3,,Agree,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Disagree,7,Given the interest in the vaccine and drugs the one who discovers will make a fortune from the large quantities sold,Strongly Agree,9,Profit maximizing!,Uncertain,5,"not sure about the ""even in countries..."""
Portes,Richard,Disagree,5,,Uncertain,4,,Agree,5,
Prendergast,Canice,Uncertain,8,"Depends what motivates the scientists as well as their employers
",Agree,8,,Agree,8,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Uncertain,4,,Agree,4,,Agree,4,One has to take into account the economic consequences of confinements.
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,I agree that firms need incentives to produce the vaccine. I dont know the firms' exact cost structure to understand if governments underpay,Agree,8,,Uncertain,9,in some countries diseases like measles kill more people esp kids (more contagious). might be better to invest in a known vaccine than covid
Sturm,Daniel,Disagree,4,,Disagree,4,,Agree,4,
Van Reenen,John,Agree,8,,Strongly Agree,8,,Disagree,5,
Vickers,John,Agree,5,,Uncertain,3,,Uncertain,3,
Voth,Hans-Joachim,Uncertain,5,,Agree,9,Governments have to share some of the risk by paying for fixed costs,Disagree,7,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Agree,5,Other factors also matter such as uncertainty as to which vaccine will end up working and how the vaccination process will work in practice.,Agree,3,,Uncertain,5,I don't think this is true everywhere. Governments in advanced economies should invest in developing (and then sharing) a vaccine.
Wyplosz,Charles,Uncertain,1,,Agree,3,,Agree,2,
Zilibotti,Fabrizio,Agree,5,,Agree,5,,Uncertain,5,
