Last Name,First Name,The US intervention in Venezuela will have no measurable impact on the world oil price over the next 12 months.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in the profitability of US energy companies over the next five years.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in economic growth in Venezuela over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Agree,8,,Disagree,8,,Strongly Agree,10,
Honohan,Patrick,Agree,1,"Per se, the intervention does not unleash significant new flow of oil in the short run.  The overall policy of promoting oil production which may underlie the intervention could lower oil prices. ",Disagree,1,,Agree,1,Likely to lead to relaxation of US sanctions which should help Venezuelan economy; whether political stability and coherent economic policy will result is less clear.
Javorcik,Beata,Agree,3,,No Opinion,,,No Opinion,,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,4,"Uncertain, of course, as the indirect consequences of challenging established property rights (aka theft) on oil production and reserve valuation is difficult to assess. The alleged fact that Venezuela's oil reserves are technically difficult to monetize adds to the uncertainty, ",Uncertain,4,"There are opposing effects at work. On the one hand side, violent grabbing of market entry, as it seems to work out for US companies --oil producing and others--  may open up profit opportunities. On the other hand, oil markt prices may fall, reducing profits.",Uncertain,4,"Again, the effect of the enforced market entry can go either way, much like the East India Company in 17th and 18th century India. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,1,,No Opinion,,,No Opinion,,
Manova,Kalina,No Opinion,,,No Opinion,,,No Opinion,,
Mayer,Thierry,Strongly Agree,1,,Disagree,8,,Uncertain,10,
Meghir,Costas,Agree,9,,Uncertain,8,,Uncertain,8,
Pagano,Marco,Uncertain,5,,Uncertain,5,,Uncertain,5,
Papaioannou,Elias,Strongly Agree,8,"Venezuela's oil sector needs massive investment to reach its potential, even partially. Given legal and political uncertainties, as well as limited expertise and technical challenges, it will take at least five years for production to reach the pre-Maduro output ",Uncertain,5,,Agree,5,"The key question is whether we will see a democratic transition, even partial. Research shows that growth picks up after successful democratic transition, even partial ones (see Papaioannou & Siourounis EJ 2008; Acemoglu et al. JPE 2019). However transitions often come with costs"
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,7,,Strongly Disagree,6,,Disagree,6,
Prendergast,Canice,Agree,4,,Disagree,5,,Uncertain,7,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Disagree,6,,Uncertain,7,,Uncertain,7,
Reichlin,Lucrezia,Disagree,3,,Uncertain,3,,Disagree,3,
Reis,Ricardo,Uncertain,8,"I am not even sure what the sign and scope of the intervention will be next week, let alone its impact on oil prices.",Disagree,7,"Even if American oil companies get to operate in those oil fields (a big if right now), over the next 5 years, investment costs might outweigh new revenues, and beyond 5 years, the energy market is fairly competitive.",Agree,8,"It cannot get worse than the past 10 years, only way is up."
Repullo,Rafael,Agree,4,,Uncertain,4,,Uncertain,4,
Schoar,Antoinette,Uncertain,1,,Strongly Disagree,7,,Strongly Disagree,7,
Storesletten,Kjetil,Uncertain,6,It is unclear whether the U.S. intervention will increase or reduce Venezuela’s oil production. Most likely no change,Disagree,7,With oil prices around $60 there are no profits to be had,Disagree,4,"Absent major regime change, fast growth is off the table. The U.S. is not aiming for major regime change"
Strömberg,Per,Agree,6,,Disagree,6,,Uncertain,5,
Sturm,Daniel,Agree,7,"Given the state of the infrastructure, it is hard to see how Venezuela could export significant amounts soon (not to mention the political situation). ",Uncertain,5,,Uncertain,7,"While it should in principle be easy to improve on the performance of the Maduro regime, it is not clear at this point how much (positive) change there will be.  "
Tenreyro,Silvana,Agree,3,,Disagree,3,,Uncertain,1,
Van der Ploeg,Rick,Agree,6,,Uncertain,6,,Disagree,6,
Vickers,John,Agree,4,Supply constraints will take longer to change substantially ,Uncertain,4,,Uncertain,4,
Voth,Hans-Joachim,Agree,6,,Disagree,4,,Agree,7,
Wyplosz,Charles,Agree,4,,Uncertain,5,,Disagree,5,
