Last Name,First Name,"In pursuing social and environmental initiatives, the average public company generates more benefits than costs in terms of profits.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"In pursuing social and environmental initiatives, public companies would benefit from a measurably lower cost of capital.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"There are substantial social benefits when managers of public companies make choices that account for the impact of their decisions on customers, employees, and community members beyond the effects on shareholders.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
La Ferrara,Eliana,Uncertain,3,,Agree,3,,Agree,3,
Leuz,Christian,Disagree,6,Unlikely that E&S initiatives on average increase profits as otherwise we wouldn't have so many environm. & soc. problems. Many studies suggest a positive relation for such initiatives but plagued by selection&endogeneity. Avoiding externalities should typically cost firms money.,Uncertain,6,It is possible that pursuing some E&S activities (or engaging in CSR) could lower firm risks and be rewarded by markets with a lower CoC. But I doubt it is true on average for the same reason as first Q. The evidence so far is also mixed.,Agree,6,"Firm activities can have (substantial) externalities on other stakeholders and taking these externalities into account (almost by definition) creates substantial social benefits. However, doing so likely also reduces firm profits (on average), so there is a tradeoff."
Mayer,Thierry,Uncertain,1,,Uncertain,1,,Agree,1,
Meghir,Costas,Disagree,7,,Disagree,7,,Agree,7,
Pagano,Marco,Uncertain,1,,Agree,8,,Agree,6,
Pastor,Lubos,Uncertain,10,,Agree,10,,Uncertain,10,"For some firms, yes, for others, no. The devil is in the details. Managers act in their own interest."
Portes,Richard,Uncertain,3,,Disagree,5,,Agree,5,
Prendergast,Canice,Uncertain,4,,Agree,5,,Uncertain,5,
Propper,Carol,Uncertain,5,,Uncertain,5,,Agree,5,
Rasul,Imran,Uncertain,7,,Disagree,6,,Strongly Agree,6,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Disagree,7,"Unless the initiatives are perfectly aligned with profits (unlikely) there will be trade-offs. I worry more that these initiatives are loosely defined so they end up giving free rein for managers to pursue own interests, hurt governance, and enhance principal-agent problems.",Agree,6,"It can in theory (see link), and some papers have found that it has been the case in the recent past, partly because of mandates imposed by institutional investors.",Disagree,6,"Substantial is too strong, especially given my concerns about principal-agent problems and corporate governance in first question."
Repullo,Rafael,Uncertain,4,,Disagree,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Uncertain,8,,Uncertain,8,,Uncertain,8,"The answer depends on how these ""social and environmental"" benefits are measured and monitored. Recent papers suggest that often these actions are attempts to greenwash, which can lead to more harm.
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4095885"
Storesletten,Kjetil,Disagree,3,,Uncertain,2,,Uncertain,3,
Sturm,Daniel,Agree,7,,Agree,7,,Disagree,7,
Tenreyro,Silvana,Uncertain,3,,Uncertain,1,,Agree,6,
Van der Ploeg,Rick,Agree,6,,Agree,7,,Strongly Agree,7,
Vickers,John,Uncertain,4,,Disagree,4,,Agree,4,
Voth,Hans-Joachim,Disagree,9,,Disagree,10,,Uncertain,1,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Uncertain,3,,Disagree,2,,Uncertain,2,
