Last Name,First Name,Tripling existing import taxes on Chinese steel and aluminum products would lead to measurably higher employment in the US steel industry over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Tripling the tariffs would lead to measurably higher steel and aluminum prices for American producers and measurably higher finished-good prices for American consumers.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The gains for the American economy from tripling the tariffs would measurably outweigh the losses.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,
Klenow,Pete,Agree,5,,Strongly Agree,5,,Strongly Disagree,5,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Disagree,4,The U.S. does not import very much steel from China. ,Uncertain,3,,Uncertain,4,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,7,,Agree,5,,Disagree,7,"Not equity weighted for sure, but distribution of impacts less clear.",,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Disagree,5,,Disagree,4,We don't import that much Chinese steel and would substitute to other sources.,Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Pathak,Parag,Disagree,4,,Agree,3,,Disagree,3,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,6,The tariffs will prompt technological adjustments are activity relocations whose countermanding effect on employment is difficult to predict.,Strongly Agree,8,,Agree,8,Tariffs are an inefficient employment program.,,,,,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,4,,Strongly Agree,6,,Strongly Disagree,8,,,,,,,,,,,,,,,,,,,
Scott Morton,Fiona,Agree,3,,Strongly Agree,4,tariffs are a form of taxes on the imported good.,Disagree,4,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,6,,Uncertain,6,,Strongly Disagree,8,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,5,,Agree,5,,Disagree,7,,,,,,,,,,,,,,,,,,,
Stantcheva,Stefanie,Uncertain,8,,Agree,7,,Disagree,4,,,,,,,,,,,,,,,,,,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Agree,5,,Agree,3,,Uncertain,1,"Tariffs have direct effects, but they are also bargaining chips.  It is hard to assess how those factors add up. ",,,,,,,,,,,,,,,,,,
Syverson,Chad,Uncertain,6,"Lots of substitution margins around Chinese-produced steel and aluminum, of which shift to domestic employment is only one.",Agree,8,"Size depends on available substitution margins, but hard to imagine how it would ever reduce finished-goods prices.",Disagree,7,"I believe there are agglomerative forces in manufacturing, but these sectors don't seem the place for large ones.",,,,,,,,,,,,,,,,,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Werning,Ivan,Disagree,7,"Imports of Chinese steel would fall. Imports from other countries may mitigate the rise in production in US and effects on employment may be modest. There could also be a negative effect on downstream production and employment, as with Bush steel tariffs.",Agree,8,"Based on past experience, the tariffs will likely raise the after tariff price to the US one for one and passed on to downstream input users and consumers, as happened with the Bush steel tariffs and more recently with Trump's  tariffs on China. ",Strongly Disagree,8,"Protectionism via tariffs creates well-understood aggregate losses in efficiency. This is so even if China ""unfairly"" subsidizes its steel. 

Political motivations aside, actual distributional impacts are modest, ill targeted, and better handled with other more direct tax tools.",,,,,,,,,,,,,,,,,,
Udry,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
