Last Name,First Name,"Even if the third round of quantitative easing that the Fed recently announced increases real GDP growth over the next two years, the increase will be inconsequential.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even if the third round of quantitative easing that the Fed recently announced increases annual consumer price inflation over the next five years, the increase will be inconsequential.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Even if inflationary pressures rise substantially as a result of quantitative easing and low interest rates, the Federal Reserve has ample tools to rein inflation back in if it chooses to do so.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,3,Purchases are open ended so consequences will depend on magnitude which remains uncertain. And does your question encompas forward guidance?,Uncertain,3,Increase is unlikely to exceed 1-2 percentage points per annum. Is this inconsequel? I'm not sure how to interpret the word in this context.,Agree,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Agree,5,,Agree,5,,Disagree,5,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,No Opinion,,,Agree,6,,Agree,6,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Agree,1,,Agree,1,,No Opinion,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Agree,6,,Strongly Agree,6,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,8,"Current activity depends mainly on shorter rates, so lowering long rates has little effect. See my 1977 Brookings paper.",Strongly Agree,7,,Strongly Agree,9,"There's no upper bound on the Fed's contractionary power--it can sell bonds and raise the interest rate on reserves, the latter sans limit.",,,,,,,,,,,,,,,,,,
Holmström,Bengt,Uncertain,4,,Agree,5,,Agree,6,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Agree,7,,Disagree,6,,Uncertain,6,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Uncertain,5,,Agree,5,,Agree,4,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Agree,7,"Too many other negative pressures around the world (europe, fiscal cliff, china) for the Fed's policy to make much difference ",Agree,7,Only way this is incorrect is if the Fed ignores lots of warnings.  Given current FOMC membership that risk is small.  ,Strongly Agree,10,Lots of ways to tighten and failure to do so would have to be an active choice.  ,,,,,,,,,,,,,,,,,,
Klenow,Pete,Disagree,5,,Disagree,5,,Agree,5,"e.g., the Fed phased out its liquidity lending facilities when the worst of the crisis passed.",,,,,,,,,,,,,,,,,,
Lazear,Edward,Agree,7,,Uncertain,3,,Agree,6,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Disagree,8,"Likely to be small, but consequential if it has net job creation.",Agree,8,"Again, inconsequential is poor word choice. Surely less than 50 basis points per year.",Strongly Agree,8,But recall that inflation is below Fed goal.,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Uncertain,9,,Uncertain,9,Depends what you mean by 'consequential.' I doubt there is a chance of inflation as high as 5% before the Fed tightens.,Uncertain,8,Again depends on what 'substantially' means. There is some (uncertain) point at which long-term inflation expectations lose their anchor. ,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Uncertain,3,,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Agree,4,,Strongly Agree,8,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Uncertain,6,,Disagree,7,,Disagree,8,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Agree,2,,Disagree,2,,Disagree,2,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Uncertain,1,don't know and will never know.  Economy is likely to start growing at some point and no one will know what caused it.,Agree,3,Inflation risk still seems low.,Agree,3,,,,,,,,,,,,,,,,,,,
Udry,Christopher,No Opinion,,,Agree,1,,Agree,1,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Agree,6,,Disagree,2,,Uncertain,5,The difference between can do it and will do it is a bit tricky when we are talking about the Fed ,,,,,,,,,,,,,,,,,,
