Last Name,First Name,"In the aftermath of Hurricane Ian, the level of Florida’s GDP in five years will be substantially lower than it otherwise would.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The prospect of further costly extreme weather events means that there is a substantial chance that some private property insurance markets will no longer exist in ten years in states such as Florida.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Without large government subsidies, mandated flood insurance requirements would substantially reduce losses from subsequent natural disasters by encouraging economic activity to migrate from the most flood-prone areas.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Cutler,David,Disagree,4,,Agree,4,,Agree,7,
Deaton,Angus,Strongly Disagree,8,"GROSS domestic product does not deduct hurricane damage, but does include repairs and rebuilding. It is a standard critique of GDP that it goes up after natural disasters. It is likely to stay up for some time. Actual capital stock may well be lower.",Agree,6,,Agree,5,
Duffie,Darrell,Disagree,3,"There may be other events that cumulatively have ""substantial"" impact, but Ian alone seems not big enough to have a substantial impact 5 years later.",Agree,8,"Florida regulations cap insurance pricing. Also, insurers and reinsurers may not have enough capital, after one mega-event, to cover another soon afterward. ""Not exist"" is very stark, but I take that to mean ""not offer significant levels of insurance.""",Strongly Agree,8,"These mandates already exist, and are part of the government's policy, as a way to encourage movement from flood areas. There are also large subsidies."
Edlin,Aaron,Disagree,3,,Agree,7,,Agree,5,
Eichengreen,Barry,Uncertain,5,,Strongly Agree,5,,Agree,5,
Einav,Liran,Disagree,1,,Disagree,1,,Agree,1,
Fair,Ray,Disagree,5,,Agree,5,,Agree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,No Opinion,,,Agree,4,,Agree,4,
Goolsbee,Austan,Agree,7,,Strongly Agree,10,,Agree,8,
Greenstone,Michael,Uncertain,4,,Agree,2,"a lot depends on how much we continue to distort insurance markets.  in too many areas (e.g., FL and MA) wealthy coastal areas subsidized by (generally) less wealthy inland areas: 
https://www.nytimes.com/2016/07/21/upshot/letting-markets-guide-adaptation-to-climate-change.html",Strongly Agree,2,
Hall,Robert,Uncertain,1,"Probably not, because fixup investment is included in GDP. The key point is that consumption will probably be lower.",Disagree,7,"The force that will cause the private market to disappear is the federal government's provision of free government aid, just like Brown and Finkelstein on private nursing home insurance. ",Disagree,9,Mandating insurance is not the issue. The issue is free insurance from government relief programs. People who would choose to self-insure have the same incentive to avoid flood-prone locations as those who buy insurance.
Hart,Oliver,Uncertain,5,,Agree,7,,Strongly Agree,7,
Holmström,Bengt,Uncertain,3,,Agree,3,,Agree,5,
Hoxby,Caroline,Uncertain,10,"There are many factors to evaluate here, but economic history should make us very cautious about grand pronouncements on Florida's GDP and population.",Disagree,10,"I would need to hear a logical argument why insurers could not price their insurance products well. Abandoning a market is rarely the best alternative for private insurers, except when they are trying to compete with subsidized government insurance.",Uncertain,5,
Hoynes,Hilary,Uncertain,9,,Uncertain,9,,Agree,7,
Judd,Kenneth,Uncertain,6,"GDP includes the expenditures on fixing the damages. Insured losses should be recovered in the next several years, and this process will bring in new economic activity. GDP over the next several years is not an indication of how much the current residents lose.",Agree,6,Private insurance markets have to consider many factors. The cost of repairing the damage of large events is much greater than the pre-storm market value because there will be excess demand for construction services. Quality will be of increased concern.,Agree,6,Forcing people to pay actuarially fair insurance rates will surely affect their decisions. Best would be that people be allowed to take the risk of being wiped out by a storm and governments commit to NOT bail them out.
Kaplan,Steven,Disagree,8,,Agree,3,,Agree,2,
Kashyap,Anil,Disagree,3,"huge incentives to rebuild and  remember the way gdp accounting works, we count the spending not the lost assets/stock.   They may not make it, but substantial is a high bar. ",Agree,3,"we have prior examples of private insurers giving up on markets, eg DC for health, but Florida is big, so wholesale withdrawal is another matter.  ",Agree,1,absent....  what do you expect?
Klenow,Pete,Strongly Disagree,3,,Uncertain,2,,Uncertain,2,
Levin,Jonathan,Uncertain,4,,Agree,5,Fire insurance market in California is already challenged. ,Agree,5,
Maskin,Eric,Agree,4,,Agree,4,,Agree,4,
Nordhaus,William,Disagree,8,"May be larger with rebuilding, but probably not appreciably different.",Uncertain,5,Perhaps private flood insurance will not survive but unlikely that the the entire market will disappear.,Agree,4,Very complicated proposition. Will be house to house combat to get people to leave their shorefront properties.
Obstfeld,Maurice,Disagree,3,,Agree,3,,Agree,4,
Saez,Emmanuel,Agree,5,,Agree,4,,Agree,6,
Samuelson,Larry,Agree,8,,Agree,8,,Agree,8,"Moving activity away from high-risk areas is essential in dealing with climate change.  Appropriate policy, such as requiring insurance at at rates reflecting the risk, have an important role to play."
Scheinkman,José,Agree,4,,Strongly Agree,8,"And more property will be uninsurable, if climate-change-denying politicians refuse to make the necessary mitigation investments.",Strongly Agree,8,
Schmalensee,Richard,Uncertain,5,Rebuilding will likely still be ongoing implying lower productive capacity but higher construction activity.,Strongly Agree,3,,Agree,5,Would probably also need to cut FEMA and other disaster aid -- hard to do politically.
Shapiro,Carl,Disagree,4,,Disagree,4,,Strongly Agree,8,
Shimer,Robert,Disagree,7,,Agree,5,Private insurance is likely to be driven out by subsidized government insurance. ,Agree,7,"Insurance mandates will discourage new building, but note that there will still be large losses to existing structures"
Stock,James,Disagree,4,,Agree,3,,Agree,5,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Disagree,1,Catch up after individual storms is fairly rapid,Strongly Agree,5,,Strongly Agree,5,
