Last Name,First Name,"Revising France’s labor market policies — by reducing employment protection, decentralizing labor negotiations to the firm level, and making training programs more accessible and responsive to labor demands — would, all else equal, increase productivity in France’s economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Reducing employment protection would reduce the equilibrium unemployment rate in France.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Kőszegi,Botond,Agree,7,,Agree,6,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"The second policy option in the list (decentralized labor negotiations) may backfire, boosting strike incentives and lowering productivity.",Agree,6,I only note in passing that the relationship between equilibrium unemployment rate and welfare is likely to be non-monotonic. 
Krusell,Per,Agree,8,Managing training programs is not necessarily so easy but I take the view that significant improvement is feasible. ,Agree,8,"It may not do so immediately. One can do a reform with grandfathering though, leaving currently employed workers with protection. "
La Ferrara,Eliana,Agree,5,,Agree,5,
Leuz,Christian,Uncertain,3,Unclear as UE protection can also spur firm-specific invt & more lab flex brings in less prod wrkrs; FR prod already among highest in world,Uncertain,4,"Ambig evidence & theory bc opposite effect on turnover & duration; likely composition effect (CDD to CDI), which could be good for young"
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,4,"""All else equal"" agreed. But it risks triggering further disillusionment with globalization. Accompanying macro stimulus would ease the pain",Agree,4,"All else equal again. And the details matter. Something like Danish ""flexicurity"" would be good, naive deregulation bad."
O'Rourke,Kevin,No Opinion,,"This is a very odd question, given that French labour productivity is so high.",Uncertain,7,"Given hysteresis in labour & political markets, SR impacts of such reforms can matter in LR, & depend inter al on accompanying macropolicies"
Pagano,Marco,Strongly Agree,9,Theory & evidence broadly support these predictions. BUT it is key that reforms are not done so as to reinforce a dualistic labor market.,Agree,7,This is likely in the long-run. But in the short run the effect may be the opposite due to job destruction in overmanned firms.
Pastor,Lubos,Uncertain,5,"Unclear. If such reforms create jobs mostly for people with below-average productivity, aggregate productivity will go down.",Agree,5,Long-run effects more favorable than short-run.
Persson,Torsten,Agree,5,,Agree,5,
Pissarides,Christopher,Agree,2,The reforms listed help but they are not the only factors influencing productivity ,Uncertain,1,The policy would increase labor turnover but not necessarily reduce unemployment
Portes,Richard,Strongly Agree,8,"Look at Germanyand Sweden. Rigid contracts with high termination costs, as in France, just result in high youth unemployment, precariousness",Strongly Agree,8,France is textbook 'insider' vs 'outsider' labor market. And we see textbook outcome.
Prendergast,Canice,Agree,8,,Uncertain,6,
Reichlin,Lucrezia,Disagree,5,,Disagree,7,
Repullo,Rafael,Strongly Agree,7,,Uncertain,3,
Rey,Hélène,Agree,7,Flex -security (scandinavian model) would raise productivity. Certainly not  the same as decreasing employment protection.,Uncertain,7,Short run effects would depend on when it is implemented. It would increase unemployment in a downturn. 
Schoar,Antoinette,Agree,8,,Strongly Agree,8,
Van Reenen,John,Agree,7,My 2016 AER piece shows a French GDP loss of about  3.4% due to heavy labor regulation for firms over 50 employees,Agree,8,
Vickers,John,Agree,3,,Agree,3,
Voth,Hans-Joachim,Uncertain,10,"Longer-term contracts can be a good thing for prouctivity, if firms and workers invest in the ""match""...",Agree,6,Modern labor econ overwhelmingly suggests that firms have a lot of market power; that means that this is likely but not guaranteed
Weder di Mauro,Beatrice,Agree,5,,Agree,5,
Whelan,Karl,Agree,4,Probably not a big effect. Would also bring some relatively lower productivity workers into employment This would lower average productivity,Strongly Agree,7,It is likely that high levels of employment protection raise the natural rate of unemployment. But this is just one of many factors.
Wyplosz,Charles,Disagree,8,So far high direct and indirect labor costs have forced firms to achieve very high labor productivity through saving on employment. ,Strongly Agree,1,No brainer
Zilibotti,Fabrizio,Strongly Agree,9,,Agree,6,
