Last Name,First Name,"High volatility in the prices of crypto assets such as Bitcoin, Dogecoin, and Ethereum largely reflects movements in investor sentiment rather than news about potential sources of fundamental value (such as possible applications, or use in illicit transactions).","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Given existing regulation of the financial system, as crypto assets grow in value and become more connected to the rest of the system, the fluctuations in their valuations will pose a serious risk to financial stability in advanced economies.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Private unbacked crypto assets serve no important economic purpose.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Kőszegi,Botond,Agree,3,,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Disagree,4,"Sentiment is more of a stationary variable, which is unlikely to produce price swings regularly.",Agree,4,There is a rising risk of contagion into the regulated banking sector if crypto assets become part of the asset universe held by banks.,Disagree,4,"If ""important"" means 'factual' rather than 'desired', then the answer is yes; it includes betting, informal markets, crime, laundering.  "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,6,"Clearly speculation drives much of the vola, but also evidence that hashrate, network size or more trad pricing factors matter.",Agree,2,Agree they *could* pose a risk but currently risk is still small. Use of crypto could pose challenges to local currency monetary policy.,Disagree,3,"Currently they are mainly a new technology, but they could eventually serve a purpose (e.g., be embedded in a digital platform ecosystem)"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Strongly Agree,10,,Uncertain,8,,Strongly Agree,9,
Pastor,Lubos,Strongly Agree,7,,Disagree,7,"Perhaps one day, but today we are still very far from such situation. Moreover, regulation is already happening, at least in Europe.",No Opinion,7,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,The 'fundamentals' - even the price of oil - don't show volatility anywhere near that of Bitcoin et al.,Strongly Agree,10,There is no macropru regulation covering crypto assets and DeFi. Crypto derivatives already $3trn notional and growing very fast. Etc.,Strongly Agree,10,These are purely speculative instruments that do not in any useful way fulfill the functions of money nor have any relation to real economy.
Prendergast,Canice,Agree,7,,Disagree,7,,Uncertain,6,
Propper,Carol,No Opinion,,,No Opinion,,,No Opinion,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Strongly Agree,7,,Agree,7,,Agree,7,
Reis,Ricardo,Strongly Agree,8,This is true for stocks as well (Campbell-Shiller). Even more so for something as flimsy as crypto,Strongly Disagree,7,Volatility in asset prices may cause instability if associated with leverage. Not the case for crypto now (and hope it'll not become so) ,Uncertain,4,Assets can be combined in so many ways to shift risk.
Repullo,Rafael,Strongly Agree,8,,Disagree,8,They pose a risk but not (yet) a serious risk.,Strongly Agree,8,Certainly no beneficial economic purpose.
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Strongly Agree,7,,Agree,6,,Strongly Agree,7,
Sturm,Daniel,Strongly Agree,7,,Disagree,6,,Agree,9,
Van Reenen,John,Agree,7,,Agree,3,,Agree,7,
Vickers,John,Agree,4,,Uncertain,4,,Agree,3,
Voth,Hans-Joachim,Strongly Agree,9,,Uncertain,5,,Strongly Agree,10,very useful - for extortion and other illegal activities. Incomprehensible that cash is criminalized and crypto allowed
Whelan,Karl,Strongly Agree,6,,Uncertain,5,"We don't know they will grow in value. Provided exposure of the banking sector is limited, there may not be financial stability issues.",Strongly Agree,9,Private crypto currencies are a solution in search of a problem. They serve no constructive economic purpose.
Wyplosz,Charles,Agree,8,"""Largely"" is important. ",Strongly Agree,8,It is difficult for me to understand why there is no regulation on these inherently risky products.,Agree,8,"That is if you do not qualify crime, mafia and tax evasion as economic activities."
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
