Last Name,First Name,"All else equal, there are substantial advantages to having much of Europe’s human capital and infrastructure for international financial activity clustered in a single city, as they are at present in London.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"All else equal, Britain’s rules on hiring, firing and working hours are significantly more conducive to financial activity than those in other large European countries.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Fuchs-Schündeln,Nicola,No Opinion,,,No Opinion,,
Galí,Jordi,Disagree,6,"There may be a tradeoff involving competition, economies of scale and regulatory/political risk. Two or three financial centers may be best.",Agree,8,
Garicano,Luis,Uncertain,5,"There exist some agglomeration economies. It is unclear however how substantial they are, with ICT playing a growing role in Finance",Strongly Agree,8,"The legal environment, safe, fast and low cost in the UK, is key. This goes beyond labor costs into Secutities and IPO cost etc."
Giavazzi,Francesco,Agree,5,Enrico Morretti's work on cities (The New Geography of Jobs)  is a good starting point,Strongly Agree,1,no brainer
Griffith,Rachel,Agree,6,,Agree,8,
Guerrieri,Veronica,Agree,6,,Uncertain,6,
Guiso,Luigi,Agree,8,,Disagree,7,Rules in some other European countries - e.g. Ireland - are not worse 
Hellwig,Martin,Uncertain,10,Advantages from economies of scale and scope may well be matched by disadvantages from herding and systemic risk.,Agree,4,"If ""financial activity"" refers to trading, the statement is probably true, if to funding of the real economy, the matter is not so clear."
Honohan,Patrick,Disagree,5,Some economies of agglomeration are evident - but seem to be eubsector-specific.,Agree,5,"...But from social welfare perspective, macho investment bank culture (facilitated by such labour market practices) can be questioned"
Kőszegi,Botond,No Opinion,,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,8,"For hub-and-spoke structure, we need to balance agglomeration synergy against systemic risk externality (created at hub, borne by spokes). ",Uncertain,7,"For non-tariff employees, income tax law and conducive (friendly) regulatory policies are way more important than hiring and firing rules.  "
Krusell,Per,Disagree,2,It's not clear to me what the positive agglomeration activities are. Agglomeration can be bad too. But I'm far from an expert on this!,Disagree,2,Not obvious that labor regulation is that relevant in this particular sector. It is in others but finance is full of other incentives. 
La Ferrara,Eliana,Uncertain,3,,Agree,3,
Leuz,Christian,Agree,6,"Substantial agglomeration benefits in cities (Krugman, 1991); applies esp. to financial services and skilled labor",Uncertain,6,"Not clear that significantly so; depending on dimension of labor law, NL, IE, DE, CH can be close. And, less flex can be good for innovation"
Meghir,Costas,Strongly Agree,8,,Strongly Agree,8,
Neary,Peter,Agree,8,"Local costs (high house prices, inequality) but clear EU-wide gains to agglomeration. Unsustainable outside the Single Market however.",Agree,6,Balance in UK labour markets is more tilted towards employers: ironically this also makes incumbent firms less likely to stay post-Brexit
O'Rourke,Kevin,Disagree,6,,Disagree,6,
Pagano,Marco,Agree,8,"There are efficiency advantages, due to the externalities and fixed costs in finance. But there can be distributional disadvantages.",Agree,7,"Labor contract flexibility is very important in finance, both for incentive reasons and to reallocate labor swiftly as opportunities change."
Pastor,Lubos,Agree,5,"A single city offers economies of scale, deep pool of talent, strong external services. But 2-3 cities could also work.",Agree,8,Flexible labor markets are particularly valuable to cyclical industries such as finance.
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Disagree,5,the vast majority of transactions nowadays are done electronically and I don't see big advantages to having them done from a single centre.,Agree,10,"Financial institutions need flexibility above all and Britian offers it. But so does, e.g., Ireland."
Portes,Richard,Strongly Agree,10,Agglomeration benefits and externalities are why London is currently top of global financial centers. Brexit is a serious threat to this.,Uncertain,10,"Overall, I doubt labour market regulation makes much difference in financial sector. No evidence. English language and time zone important."
Prendergast,Canice,Agree,7,,Agree,7,
Reichlin,Lucrezia,Agree,9,,Disagree,9,
Repullo,Rafael,Agree,7,,Agree,7,
Rey,Hélène,Uncertain,4,"There are probably synergies between financial activities but no evidence that  they should ALL be clustered together for efficiency,",Uncertain,8,Labour laws are being changed in a number of countries so it is hard to know.
Schoar,Antoinette,Agree,7,"Krugman (1991) suggests agglomeration in financial services is stronger than other industry due to knowledge spill overs, talent acquisition",Agree,8,
Van Reenen,John,Agree,4,,Agree,3,
Vickers,John,Agree,8,Large economies of agglomeration.  But caveat that the hub is sensibly regulated and not prone to collusion.,Agree,7,Ratio of value of flexibility to that of working terms regulation is relatively high in finance.  UK is somewhat freer than most of EU.
Voth,Hans-Joachim,Strongly Agree,8,Wholesale financial services naturally congregate in a handful of locations....that's why there are financial centers in the first place.,Disagree,7,"I think this is really secondary; ""light touch"" regulation and the lock-in from pre-existing activity are much more important."
Weder di Mauro,Beatrice,Strongly Disagree,9,,Disagree,6,
Whelan,Karl,Disagree,5,There may be some wider advantages for Europe due to the clustering of financial service activity in London but it is likely to be small.,Strongly Disagree,8,"I don't believe labour laws in France, Germany or Ireland, for example, will be a deterring factor for financial service firms."
Wyplosz,Charles,Agree,5,We need to balance the benefits from local networks with the consequences of Brexit. ,Strongly Agree,9,One  should add the prejudices against finance and wealth that permeate the continent. 
Zilibotti,Fabrizio,Agree,8,,Agree,9,
