Last Name,First Name,"At this point, there is little that the European Central Bank can do to increase or maintain output in the Eurozone.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"When the economy is operating below its potential, larger fiscal deficits are likely to increase demand and output.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"When the economy is operating below its potential and monetary policy is at the effective lower bound, fiscal policy should prioritize increasing output over decreasing public debt.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Krusell,Per,Agree,6,,Agree,7,If the government’s money isn’t wasted. ,Uncertain,5,Ok if debt position is not in danger zone. 
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,2,"The ECB has bought countries and EU considerable time for structural reforms, but its measures also eased pressures for necessary reforms.",Uncertain,2,Depends also on time horizon over which outcome is considered.,Uncertain,2,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Disagree,4,"ECB can’t do much given low interest rates, but I can stop things getting worse",Strongly Agree,5,Only models with implausible degrees of wage/price flexibility predict otherwise. ,Agree,4,"Agree, but this is more a political/moral judgement than a scientifically grounded view. And depends on circumstances, esp. size of deficit"
O'Rourke,Kevin,Disagree,6,,Strongly Agree,8,,Strongly Agree,8,
Pagano,Marco,Agree,6,,Uncertain,7,,Uncertain,7,
Pastor,Lubos,Disagree,9,"There's little room to cut rates, but ECB could also relaunch QE, expand bank loans, change forward guidance. Weaker euro could help output.",Agree,6,,Agree,6,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Agree,10,There is no evidence of bottlenecks in the financial sector that monetary policy could relax,Strongly Agree,10,Old fashioned Keynesianism works!,Agree,9,The only potential problem I see is that confidence in the country might fall and affect investment otherwise I would say strongly agree
Portes,Richard,Disagree,9,,Strongly Agree,10,,Strongly Agree,9,
Prendergast,Canice,Agree,7,,Agree,7,,Agree,7,
Reichlin,Lucrezia,Agree,9,,Agree,9,,Agree,9,
Repullo,Rafael,Agree,8,,Agree,4,,Uncertain,4,it depends on the level of public debt.
Rey,Hélène,Strongly Disagree,8,Has to prevent fall in inflationary expectations,Strongly Agree,8,Stimulate aggregate demand unless larger fiscal deficit mean higher risk premium in which case higher  interest burden will decrease AD,Uncertain,8,It depends on the country. At high debt level risk premium increase can more than undo aggregate demand stimulus
Schoar,Antoinette,Agree,7,,Uncertain,7,,Agree,7,"Answer depends on the type of government projects, some crowd out private sector activity others are net beneficial, needed infrastructure"
Sturm,Daniel,Disagree,3,,Agree,5,,Agree,3,
Van Reenen,John,Strongly Disagree,7,,Strongly Agree,9,Lots of evidence now of the positive effect fiscal policy at zero lower bound,Strongly Agree,10,
Vickers,John,Agree,5,,Agree,5,,Uncertain,5,Yes if fiscal position is sound but not necessarily otherwise
Voth,Hans-Joachim,Agree,7,,Agree,8,,Strongly Agree,8,
Weder di Mauro,Beatrice,Agree,6,Not much much with the existing toolkit ,Agree,9,The question is how much.,Uncertain,7,Depends on the debt level
Whelan,Karl,Strongly Disagree,8,With an unemployment rate of 7.5% there is still spare capacity in the EA. ECB can also boost investment which increases supply capacity.,Strongly Agree,10,There is plenty of empirical evidence for this proposition.,Agree,8,"Generally true though not, for example, in highly-indebted members of the Euro Area which do not have control of their own currency."
Wyplosz,Charles,Agree,8,A few basis points won't make a difference and liquidity is not an issue now.,Strongly Agree,8,The literature is now wide and converging.,Agree,9,"Fiscal space is determined by policy institutions, more than the existing gross debt: fiscal councils central bank lending in last resort."
Zilibotti,Fabrizio,Agree,5,,Agree,5,,Agree,9,
