Last Name,First Name,"Assuming it exits its third bailout program this summer without an immediate restructuring or other debt relief, Greece is unlikely to default on its sovereign debt in the coming decade.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Greece would be better off if it had decided to exit the euro between 2011 and 2015.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"If Greece had defaulted on (or restructured) its private debt in 2010, while also staying within the euro, that combination would have been better for Greece than either exiting the euro or proceeding as it has actually done.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Krahnen,Jan Pieter,Agree,7,"Greece is now back on track, has accepted many hardships in order to comply with European requests - why should it change its stance?",Strongly Disagree,7,"Exiting a currency union is tough. Lots of international exposures will be in default, because of the extreme devaluation.",Agree,7,The default-in-2010 option would have been close to Banking Union rules: Bail-in creditors - which at the time were mostly foreign banks  
Krusell,Per,Agree,2,,Disagree,2,,Disagree,2,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,Very hard to predict. Much depends on continued structural reforms & if there is a major shock to world economy. Not much room for error.,Disagree,5,"Exit restores competitiveness, but would have led to default on euro liab thereafter would have been little political will to help Greece.",Agree,7,Default w/ liquidity for GR/EU banking system & money for structural reform would have been better than giving money to creditors. See oped.
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Uncertain,2,,Uncertain,2,,Agree,2,
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Uncertain,7,"In a low-growth, scenario, debt relief will be needed to avoid a default, and default without debt relief could take place within 10 years.",Disagree,7,"If it had done so, today Greece would have runaway inflation and difficulty in accessing international capital markets.",Strongly Agree,8,"This would have avoided excess fiscal contraction, and kept price & financial stability. "
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,9,Repayment terms are easy if interest rates do not hike. The economy will grow and fiscal budget is in surplus,Disagree,10,"The transition cost would have been very high and governments would have resorted to inflation-finance, devaluations and no reforms",Agree,9,Cypriot deposit haircut had similar effects. In Cyprus unsuspecting depositors lost their assets in Greece's lenders would have lost them
Portes,Richard,Strongly Agree,10,Net financing needs are very low for the next decade.,Strongly Disagree,10,Financial system would have collapsed completely.,Strongly Agree,10,"Unfortunately, European officials (including ECB) blocked this path."
Prendergast,Canice,Disagree,6,,Disagree,7,,Uncertain,8,
Reichlin,Lucrezia,Uncertain,10,,Strongly Disagree,10,,Strongly Agree,10,
Repullo,Rafael,Agree,5,,Strongly Disagree,7,,Uncertain,5,
Rey,Hélène,Agree,9,Net financing needed by Greece is small over that horizon. ,Strongly Disagree,9,There would have been a major crisis with social distress and no institutional reforms.,Strongly Agree,9,Greece was insolvent and an orderly default inside euro coupled with reforms would have been best.
Schoar,Antoinette,Uncertain,5,,Disagree,5,,Agree,9,
Van Reenen,John,Uncertain,5,,Agree,6,,Disagree,6,
Vickers,John,Agree,5,10Y bond yield of 4.2% is well above bunds but does not suggest that default is more likely than not,Disagree,5,Major exit costs v some benefits of devaluation.  Euro-denominated debt would still need servicing.,Agree,5,
Voth,Hans-Joachim,Uncertain,5,,Agree,8,,Disagree,5,Not very clear what doing the same thing 2 years earlier would have bought them...
Weder di Mauro,Beatrice,Agree,8,"Gross financing needs only increase later, in the short run they ar low due to highly concessional conditions on European loans.",Strongly Disagree,9,,Uncertain,1,
Whelan,Karl,Uncertain,5,Uncertain. The debt is unsustainable (see the recent CEPR report) but there will likely be debt relief thus avoiding an outright default.,Disagree,7,Better to have larger sovereign default in 2011 restoring sustainability and avoiding the excessively tight fiscal policy of 2012 onwards.,Strongly Agree,8,"Euro membership provided stability and low interest rates. The damage was done by ""debt denial "" and excessively tight fiscal policy."
Wyplosz,Charles,Strongly Disagree,9,Most serious studies find that the Greek debt is unlikely to be sustainable.,Strongly Disagree,8,"You don't exit the euro for a few years and then come back. If you exit, you're out, maybe better off in the medium run. ",Strongly Agree,9,"Barry Eichengreen and I tell the story, see the URL."
Zilibotti,Fabrizio,Disagree,5,"I interpret ""default"" it as an outright unilateral decision. A different point is whether there there will be haircuts and renegotiations.  ",Disagree,7,,Uncertain,5,"In 2011, private-sector holders of Greek debt did take a 53% write-down on the value of their holdings."
