Last Name,First Name,The ECB's asset purchases over the past two years have reduced the threat of deflation in the euro area as a whole.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If the economic outlook in the euro area becomes less favorable, then increasing the ECB's asset purchase program (in size or duration) would substantially increase the euro area's economic growth over the following five years.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Guerrieri,Veronica,Agree,8,,Uncertain,8,
Guiso,Luigi,Strongly Agree,8,,Strongly Disagree,9, 
Hellwig,Martin,Agree,4,The associated compression of bank profitability had a significant countervailing effect.,Uncertain,4,"If slow growth is due to high leverage of nonfinancial and financial firms, substantial new growth requires that to be dealt with first."
Honohan,Patrick,Strongly Agree,10,100 years of monetary theory cannot all be wrong.,Agree,8,Benefit mainly in the stressed countries; effectiveness of this policy nearing its limit.
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,6,"APP has desired real effects iff credit supply is the problem, not demand, nor structural reform. Moreover, is mild deflation a threat?",Strongly Disagree,6,APP may have opposite effect: Expectations of unsustainable debt levels at states and banks leading to low interest rates & low  growth. 
Krusell,Per,Agree,5,,Uncertain,5,
La Ferrara,Eliana,No Opinion,,,No Opinion,,
Leuz,Christian,Agree,3,QE likely helped w/ deflationary pressures but by how much is unclear. There are also negative effects that question sets aside. ,Uncertain,2,Perhaps one could make a case for an extension of the program (in case of a shock) but I am skeptical about further expansion.
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,5,"Reduced but not eliminated. Monetary policy alone cannot get the EU out of deflation, only a rise in external demand or a fiscal stimulus.",Uncertain,5,"""Substantial"" Is a big ask, and growth will ultimately be affected more by structural issues and demand-side shocks"
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Strongly Agree,8,,Uncertain,8,
Pastor,Lubos,Agree,8,,Uncertain,8,"Hard to tell. In any event, ECB aims to manage inflation rather than boost growth."
Persson,Torsten,Agree,3,,Uncertain,3,
Pissarides,Christopher,Strongly Agree,1,one of the few things we know with some confidence in macro is that increasing the supply of money reduces the risk of deflation,Uncertain,3,"It will bring confidence that deflation will not return but whether this is enough to ""substantially"" increase growth is uncertain"
Portes,Richard,Strongly Agree,9,"Inflation expectations in Eurozone became 'de-anchored' by summer 2014. ECB action, though too long delayed, was essential to stop deflation",Strongly Disagree,9,"Major constraints on expanding asset purchase program and diminishing marginal returns.
"
Prendergast,Canice,Agree,8,,Agree,8,
Reichlin,Lucrezia,Strongly Agree,10,,Uncertain,10,"Not clear what the question means: inflation, real growth, financial stability? if it means weaker growth and inflation then strongly agree"
Repullo,Rafael,Strongly Disagree,7,Panelist meant to vote Strongly Agree,Strongly Disagree,7,
Rey,Hélène,Strongly Agree,8,They ensured that no self -fulling vicious risk premium dynamics happen in periphery and appropriate loose monetary conditions remain.,Agree,8,"If spreads diverge (self-fulfilling debt crisis) in peri[hery, restoring monetary policy tramsmission will be key."
Schoar,Antoinette,Agree,7,,Disagree,8,
Van Reenen,John,Agree,7,,Agree,4,
Vickers,John,Agree,5,,Uncertain,5,Diminishing returns to such a policy
Voth,Hans-Joachim,Agree,7,,Agree,6,
Weder di Mauro,Beatrice,Agree,8,,Uncertain,5,
Whelan,Karl,Agree,6,QE is complex but most careful research shows it impacts long-term rates. ECB program has definitely reduced sovereign borrowing rates.,Disagree,6,"The disagreement is because of the word ""substantial"". Not sure that any realistic policy can ""substantially"" improve European growth rates."
Wyplosz,Charles,Agree,6,"This is what comes from empirical studies, but SD are often large.",Uncertain,3,Available assets are getting scarce.
Zilibotti,Fabrizio,Strongly Agree,9,,Uncertain,5,
