Last Name,First Name,"Policy Responses to Recent Bank Failures
 

The response to recent bank failures should be to: Expand central banks’ lender of last resort facilities for banks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase the limit on bank deposit insurance.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Substantially increase bank capital requirements.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The response to recent bank failures should be to: Use market values of all traded assets to compute banks’ regulatory capital.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.
Fehr,Ernst,Agree,8,,Agree,7,,Agree,7,,No Opinion,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Disagree,3,,Disagree,3,,Agree,3,,No Opinion,,
Galí,Jordi,Disagree,6,,Disagree,6,,Agree,6,,Agree,6,
Garicano,Luis,Disagree,7,LOLR should be really a last resort. We need to ensure that banks have enough capital to avoid these failures. The Basle rules are a good start- pity that the implementation is riddled with holes.,Disagree,8,,Agree,8,,No Opinion,,
Gorodnichenko,Yuriy,Uncertain,2,,Disagree,6,,Uncertain,4,,Uncertain,5,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,7,,Disagree,7,,Uncertain,7,,Disagree,7,
Guiso,Luigi,Agree,7,,Uncertain,6,,Uncertain,1,,Disagree,6,
Guriev,Sergei,Uncertain,5,,Disagree,7,,Agree,8,,Uncertain,5,
Honohan,Patrick,Disagree,10,"Availability of LOLR facilities is, in practice, already ample. Extensive loans were provided in both the the US and Switzerland. Still, failing banks should be resolved.",Disagree,10,"It's not a question of simply increasing the ceiling.  What is needed is a politically sustainable definition of what categories of deposit (e,g, those used for working capital of SMEs) are protected.  Without that, ex post bailouts are inevitable.",Agree,10,And regulatory capital should not neglect capital losses on traded government securities resulting from to general interest rate increases.  ,Uncertain,10,Am inclined to restrict this to cover valuation changes related to movements in risk-free yields e.g. on traded government bonds.  Including other market movements may generate too much procyclicality.
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Uncertain,5,"For moral hazard reasons I find a clear distinction between safe and risky (i.e. liable in the crisis) liabilities more important. A reform of the rules governing deposit insurance can do the trick, I maintain.",Strongly Agree,5,"Yes, that is exactly our program",Disagree,5,"To prevent a bank-run, we need a reliable deposit insurance. To prevent moral hazard of an increased deposit insurance, we need lots of bail-in able debt, as well as equity. But equity is not the panacea...",Disagree,5,"The accounting should depend on the business model, i.e. whether securities are held to maturity or not. What is needed, however, is transparency - so the market can account for expected losses, and banks can respond with change of their equity. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,,Disagree,5,,Agree,7,"For recent runs, liquidity & unstable, short-term funding structures were a bigger issue than level of capital. However, bank capital was shielded from losses for certain securities. Undoing these prudential filters amounts to increasing capital requirements, which is why I agree",Uncertain,9,"Q is too broad. Uncertain for all trad assets. Agree prudential filters for AFS securities should be removed, so that fair value losses affect capital in timely fashion. Banks w/ short-term funding should not use historical cost for HTM securities. Ability to hold matters."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,7,,Agree,8,,Agree,9,,Agree,9,
Pagano,Marco,Disagree,9,,Disagree,9,,Agree,9,,Agree,9,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Disagree,10,LOLR should deal with short-term liquidity only. ,Strongly Disagree,10,Higher deposit insurance not needed for ordinary retail customers. Corporate deposits for payrolls etc can be much higher and should go to money market funds.,Strongly Agree,10,Current requirements much too low to provide proper cushion against shocks and to give time for remedial measures if bank is on an unsustainable path.,Strongly Agree,10,Not marking to market gives a misleading picture of solvency. See Admati-Hellwig-Portes VoxEU columns on SVB and CS.
Prendergast,Canice,Uncertain,8,,Uncertain,6,,Uncertain,7,,Agree,6,
Propper,Carol,Uncertain,4,,Agree,4,,Agree,1,,Uncertain,3,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,5,,Disagree,6,,Strongly Agree,8,,Agree,7,
Repullo,Rafael,Agree,8,,Strongly Disagree,8,,Agree,8,,Agree,8,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Uncertain,8,"Optimal response to recent bank failures is stronger enforcement of risk limitations. In the US, the culprit was failed/insufficient bank supervision. The primary response should be to tighten the conduct of bank supervision",Agree,8,"Once the Fed bailed out SVB, the market expects unlimited deposit insurance. This forces the and of the Fed to deliver in the event of a future crisis. Accordingly, bank depositors should pay for the implicit insurance ",Strongly Agree,8,"Miller-Modigliani applies in the long run: there is no trade-off between bank equity and GDP in the long run (but steep trade-off exists in short run). Accordingly, the capital requirements should be increased gradually and steadily (over 10-year period) to new high level",Agree,6,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Uncertain,4,I am not sure on this one.,Agree,7,This makes sense to avoid bank runs (even despite some moral hazard effects).,Agree,6,"Despite efforts, banks still seem rather under-capitalised.",Agree,6,
Van Reenen,John,Uncertain,5,,Uncertain,5,,Disagree,7,,Uncertain,4,
Vickers,John,Uncertain,9,Any expansion should come with quid pro quo in terms of capital and/or propositioned haircut collateral ,Uncertain,9,Again this would need accompanying increase in capital requirements ,Strongly Agree,9,The case was strong independently of the recent failures,Agree,9,"My agreement is qualified. Taken literally there are clear dangers of pro-cyclicality. But market values are underused and should at least be used in parallel to traditional methods, e.g. in stress tests. "
Voth,Hans-Joachim,Strongly Disagree,9,,Agree,6,,Strongly Agree,8,,Disagree,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,8,,Disagree,7,,Uncertain,6,,Agree,1,
