Last Name,First Name,"The Federal Reserve has begun quantitative tightening (QT) to reduce the size of its balance sheet. Fed holdings of Treasury securities have declined by $800 billion relative to the March 2020 peak. The Fed currently holds $4.9 trillion of Treasury securities, significantly larger than the $2.5 trillion holdings prior to the Covid pandemic. 

A reduction in Fed holdings of Treasury securities measurably increases the interest rate on long-term U.S. Treasury bonds.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A reduction in Fed holdings of Treasury securities measurably increases volatility in the Treasury market.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Nagel,Stefan,Agree,5,"Existing estimates suggest that there may be measurable effect, but it's likely small. See, e.g., http://www.econ2.jhu.edu/People/Wright/bpeawright_writeup.pdf",Agree,5,"At least temporarily, there may be an effect on volatility, due to Treasury market plumbing issues, until the securities find their way into the portfolios of long-term holders.  "
Parker,Jonathan,Agree,7,"QT changes the risks that are borne by government and so changes the pricing of  marketable government securities. Further, the people who directly and indirectly hold Treasury securities typically take time to re-balance to hold more securities so large QT sales reduce prices.",Disagree,6,There is little theoretical reason to believe this and less empirical evidence that it is true.
Parlour,Christine,Uncertain,5,The optimal size of the balance sheet is an area of active research,Uncertain,5,Volatility is affected by the market's understanding of the action and fundamental frictions.
Philippon,Thomas,Uncertain,3,,Agree,7,
Puri,Manju,Agree,8,,Agree,6,
Roberts,Michael,Agree,5,,Uncertain,5,
Sapienza,Paola,Agree,7,long-term interest rates should increase as compensation to investors to lend for longer maturities,Uncertain,5,
Seru,Amit,Uncertain,5,,Uncertain,5,
Stambaugh,Robert,Uncertain,5,"There should be some effect, but I'm not sure one could isolate and thereby measure it.",Uncertain,7,Depends on how transparent and predictable the Fed would be about the course and extent of its tightening.
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Agree,7,,Disagree,7,
Stroebel,Johannes,Agree,4,,Uncertain,1,
Sufi,Amir,Agree,5,,Agree,5,
Titman,Sheridan,Agree,4,,Agree,3,
Van Nieuwerburgh,Stijn,Strongly Agree,7,"FED is price inelastic buyer. Together with reduction in foreign central bank holdings and us domestic bank holdings, more price elastic buyers now must absorb a lot of new Treasury issuance. Higher yields result.",Agree,7,Fed purchases were predictable and the loss of that buyer leaves a more price sensitive and fickle fray of Treasury buyers.
Whited,Toni,Uncertain,7,,Uncertain,3,
