Last Name,First Name,"Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Given that the transition period currently expires at the end of 2020, there is still a considerable risk that the UK will leave the European Union without a trade agreement.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Leaving the European Union without a trade agreement would have a large negative impact on the UK economy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Pissarides,Christopher,Agree,8,"Brexit uncertainty has been a dampener on investment. There will be a boost, although maybe not substantial until we know the deal",Disagree,7,"I expect some kind of incomplete trade deal, especially on goods, because of the opposition of supporters of the government to no deal",Strongly Agree,9,UK depends on trade with the EU. No trade deal brings a big barrier to such trade
Portes,Richard,Agree,10,"Economy stagnating recently. Some uncertainty now resolved, so psychological effects on consumers, maybe starts on some delayed investments",Strongly Agree,10,Expectations and demands of UK and EU 27 are strongly incompatible. But Johnson is totally unpredictable.,Strongly Agree,10,There will be a large negative effect even with a trade agreement if it doesn't cover services and the UK leaves the Single Market
Prendergast,Canice,Uncertain,7,,Agree,8,,Agree,6,
Reichlin,Lucrezia,Uncertain,6,,Strongly Agree,9,,Agree,7,
Repullo,Rafael,Uncertain,6,,Disagree,6,,Strongly Agree,6,
Rey,Hélène,Strongly Disagree,8,"There is great uncertainty about the path that will be chosen, from no deal to soft Brexit.",Agree,8,Short time to negotiate increases chances of no deal and of soft Brexit. Everything in between takes time to negotiate.,Strongly Agree,9,Most independent studies have shown large effects of no deal. 
Schoar,Antoinette,Disagree,7,,Strongly Agree,8,,Strongly Agree,9,
Sturm,Daniel,Disagree,6,,Strongly Agree,9,,Strongly Agree,10,
Van Reenen,John,Strongly Disagree,8,"Brexit is a certain economic bad, so the fact this will happen outweighs any benefits from the reduction in uncertainty",Strongly Agree,10,"Government announced it will legislate against extension. Although it could change this, it makes no-deal more likely",Strongly Agree,10,"It's obvious that driving up trade costs with UK's neighbours will mean lower incomes, and the bigger the trade cost the more the damage"
Vickers,John,Uncertain,7,"Net effect of withdrawal certainty and heightened trade agreement uncertainty, given PM's commitment not to extend transition, is unclear ",Strongly Agree,6,"Clear risk of UK/EU not concluding trade agreement in 2020, even for goods only.  Irony that risk reduces the more UK aligns with EU rules.",Strongly Agree,6,Absence of trade agreement with UK's main trading partner would be a large negative supply shock at least in the short term
Voth,Hans-Joachim,Uncertain,5,,Agree,7,,Agree,5,
Weder di Mauro,Beatrice,Disagree,8,,Uncertain,8,,Strongly Agree,9,
Whelan,Karl,Disagree,8,There is still considerable uncertainty for firms (particularly in services) about the nature of the UK's future trading relationship.,Uncertain,5,"Expect to hear ""no deal is better than a bad deal"" again. I suspect a bare-bones trade deal (zero tarrifs & quotas, no services) can be done",Strongly Agree,10,This (rather than failure to sort out the other issues in the WA) is the biggest chance that Brexit has a large sudden negative shock.
Wyplosz,Charles,Agree,7,Some uncertainty is removed but the trade agreement remains to be negociated,Agree,7,Wishful silver lining? It could lead to Britain remaining de facto in the EU.,Strongly Agree,8,WTO rules would cripple significant segments of the British economy.
Zilibotti,Fabrizio,Uncertain,5,,Agree,7,,Strongly Agree,9,
