Last Name,First Name,Breaking the “doom loop” — a negative spiral that can result when banks hold sovereign bonds and governments bail out banks — would increase the stability of European economies in the event of another financial crisis.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Regulators should try to break the doom loop by assigning positive risk weights — in calculating banks’ capital requirements — to banks’ holdings of domestic and other Eurozone sovereign bonds.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Breaking the doom loop would impose substantial costs on powerful political constituencies.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Pagano,Marco,Strongly Agree,10,,Uncertain,10,Positive risk weights is not the only option to achieve this purpose. Alternatives are limits to sovereign exposures or their concentration.,Strongly Agree,10,"They would clash with the interests of banks and most political parties in many European countries, especially in Southern Europe."
Pastor,Lubos,Strongly Agree,10,"The financial system would be more stable if banks, which are inherently subject to runs, could survive potential sovereign default.",Agree,10,"But this should be done gradually, to give countries time to adapt. The bigger goal is to make sovereign debt restructuring less costly.",Agree,10,"Which is why it will be difficult to push through, but still worth trying. "
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,,Agree,10,,Agree,10,
Prendergast,Canice,Agree,8,,Agree,5,,Agree,7,
Reichlin,Lucrezia,Strongly Agree,10,,Disagree,10,,Uncertain,10,
Repullo,Rafael,Agree,8,,Strongly Disagree,8,,Disagree,8,
Rey,Hélène,Agree,9,Yes in principle. Very important to address how doom loop is broken and legacy debt issue though. See 7+7 report (URL below),Agree,9,Concentration charges may be a better way. Need to discuss at the same time changes in banking regulation and euro safe asset.,Uncertain,9,depends on how the transition is done (would need euro wide measures) and adoption of safe asset; regulation changes
Schoar,Antoinette,Agree,7,,Agree,8,,Agree,8,
Sturm,Daniel,Strongly Agree,9,,Uncertain,4,,Agree,8,
Van Reenen,John,Agree,6,,Agree,6,,Agree,7,
Vickers,John,Agree,9,"Breaking the doom loop would help but, irrespective of sovereign bond holdings, European banks need to be much better capitalised.",Agree,9,"Sovereign bonds should plainly have positive risk weights in some circumstances, for obvious risk reasons, not just doom loop reasons.",Agree,7,
Voth,Hans-Joachim,Strongly Agree,9,,Strongly Agree,9,,Agree,8,
Weder di Mauro,Beatrice,Strongly Agree,10,,Disagree,10,Risk weights not the best instrument  for diversification. Concentration rules are an alternative and safe assets a necessary complement.,Agree,7,Depends on how it is done and on the package 
Whelan,Karl,Agree,9,,Strongly Agree,10,,Uncertain,5,
Wyplosz,Charles,Strongly Agree,9,I'm not aware of any argument to the contrary.,Strongly Agree,9,"Yet, determining the weights could be tricky. There are alternative solutions.",Agree,9,That's why it hasn't happened!
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
