Last Name,First Name,"Assuming that Germany eventually agrees to backstop the debt of southern European countries, the eurozone as a whole will be better off if that bailout is unconditional, rather than accompanied by the labor market reforms and future budget controls that Germany is demanding of countries in return.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"If Germany fails to bail out the southern tier of Europe, its own economy will be hurt more — because of output and asset losses — than it would be by an unconditional bailout.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,The main reason other eurozone countries need to worry about Greek banks losing access to ECB support is because the ensuing chaos in Greece could trigger bank runs in peripheral countries.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,8,,Uncertain,1,,Agree,5,,,,,,,,,,,,,,,,,,,
Hall,Robert,Disagree,6,"Although the ideal regime to bring discipline to economic policies of the southern Euro countries would be self-reliance, conditions are 2nd",Uncertain,3,Seems like Europe and Germany are in for bad times no matter what. There's no way Germany could bail out everything.,Disagree,7,"We should care about Greece and apply tough love for its own sake, not just the stability of other countries.",,,,,,,,,,,,,,,,,,
Holmström,Bengt,Disagree,6,,Uncertain,5,,Strongly Agree,8,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Disagree,6,,Disagree,8,,Uncertain,6,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Disagree,5,,Agree,4,,Agree,4,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Strongly Disagree,7,Without the structural reforms these countries medium term outlook is grim.  ,Uncertain,7,Too many factors about the details of a break up and the policies followed under a bailout need to be specified to answer this. ,Strongly Agree,7,"Greece is doomed absent a complete bailout.  But then how do Port, Italy, Spain not get the same deal?  When Greece collapses watch for runs",,,,,,,,,,,,,,,,,,
Klenow,Pete,Disagree,5,Conditionality could help countries overcome political opposition to painful but necessary policies.,Uncertain,3,,Agree,5,"They might like the precedent too (if the ECB buys Greek debt, it should buy the debt of Spain, Italy, etc. as well).",,,,,,,,,,,,,,,,,,
Lazear,Edward,Disagree,7,,Disagree,6,,No Opinion,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Disagree,7,,Agree,6,,Agree,7,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Uncertain,8,"Too many conditionals to give clean answer, particularly fiscal issues.",Agree,7,,Agree,7,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,10,,Agree,10,,Agree,10,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Uncertain,4,,Uncertain,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Scheinkman,José,Disagree,8,,Disagree,8,,Agree,8,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Uncertain,7,,Agree,7,,Agree,8,,,,,,,,,,,,,,,,,,,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Strongly Disagree,7,"Without structural reforms in the highly indebted countries, bailouts won't work.  The Germans aren't going to bankroll the south forever.",Uncertain,1,,Agree,3,,,,,,,,,,,,,,,,,,,
Thaler,Richard,No Opinion,,All these questions require better knowledge of details than I possess.,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Uncertain,1,,Uncertain,1,,Agree,2,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Disagree,6,,Uncertain,1,,Strongly Agree,7,,,,,,,,,,,,,,,,,,,
