Last Name,First Name,"Debt Sustainability

 
Debt sustainability analysis – for example, as practiced currently by the International Monetary Fund – substantially improves the ability to predict future sovereign debt crises.



Details on IMF debt sustainability analysis are here: https://www.imf.org/en/About/Factsheets/Sheets/2023/imf-world-bank-debt-sustainability-framework-for-low-income-countries",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"The European Commission’s proposed move from the existing EU fiscal rules to ones based on debt sustainability analysis would be a measurable improvement.



Details on the EU’s propose fiscal rules are here: https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"A move from the existing fiscal rules to independent fiscal councils would be more effective than a move to rules based on debt sustainability.



Details on the EU’s propose fiscal rules are here:


https://ec.europa.eu/commission/presscorner/detail/en/ip_23_2393",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Hart,Oliver,Uncertain,5,,Uncertain,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Agree,5,,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Uncertain,4,,Agree,3,,Uncertain,4,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Disagree,3,"This provides some useful information, but predicting crises is really hard, so that is a very high bar.  ",Agree,3,The existing rules are pretty ineffective and keep having to be revised.  A reboot is a good idea.  See though the answer to the next question ,Agree,5,Having an independent group would likely be better.  All of these options can be politicized so the details of how the arrangements are structured matter greatly.  ,,,,,,,,,,,,,,,,,,
Klenow,Pete,Uncertain,2,,Uncertain,2,,Uncertain,2,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Agree,1,,Uncertain,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,No Opinion,,,Disagree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Agree,6,,Agree,6,,Agree,5,"Fiscal councils would be a plus. However, fiscal councils should base their recommendations in part on a DSA -- these are complements not substitutes (or alternatives). So I do not agree with the tacit premise of this question.",,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Agree,4,,Agree,4,,No Opinion,,,,,,,,,,,,,,,,,,,,
Samuelson,Larry,Uncertain,1,,Uncertain,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Scheinkman,José,No Opinion,,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Agree,3,,Agree,3,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Uncertain,1,,Uncertain,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
Stock,James,Uncertain,1,,No Opinion,,,No Opinion,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Agree,1,"Depends on what the comparison is. Relative to existing EU rules, I think so.",Agree,1,,Uncertain,1,,,,,,,,,,,,,,,,,,,
