Last Name,First Name,Efforts to achieve the goal of reaching net-zero emissions of greenhouse gases by 2050 will be a major drag on global economic growth.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Voluntary national targets are unlikely to be an effective mechanism for achieving sharp reductions in greenhouse gas emissions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Agreement on a significant global price floor for all carbon emissions would be an effective step towards achieving sharp reductions in emissions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Hall,Robert,Disagree,3,Not if the world adapts intelligently,Uncertain,3,"There's a big problem of collective action, but who says the reduction should be sharp? It should be consistent but not irregular.",Uncertain,3,Carbon as CH_4 should have a much higher price than carbon as CO_2,,,,,,,,,,,,,,,,,,
Hart,Oliver,Disagree,5,,Disagree,6,,Strongly Agree,10,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Uncertain,5,"Short run, yes. Long run maybe not. Growth measures likely to change, too.",Strongly Agree,7,,Strongly Agree,6,Presumably equilibrium will eventually exceed floor,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Hoynes,Hilary,Uncertain,5,,Agree,5,,Agree,8,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Strongly Agree,8,"Even the best policies would restrain growth but any politically feasible mix of policies would likely be very inefficient.
",Strongly Agree,8,"Talk is cheap. Also, a good global policy would have some countries cut emissions far more than others and require coordination.",Agree,8,"If the cost of emitting CO2 goes up, then emissions will go down.",,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,4,,Agree,4,,Agree,4,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Uncertain,3,It is not clear if there will be efforts and if seriously attempted will likely slow growth but major drag? Too hard to say. ,Strongly Agree,7,,Agree,5,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Uncertain,5,,Uncertain,5,,Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Uncertain,4,,Uncertain,4,,Agree,4,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Uncertain,4,"It could go either way---development of ""clean"" energy sources could conceivably give growth a major boost",Agree,7,The free-rider problem here is too strong to expect voluntary reductions to work very well,Agree,7,A carbon tax will not only reduce emissions directly---but also indirectly by stimulating development of clean energy.,,,,,,,,,,,,,,,,,,
Nordhaus,William,Agree,8,"Partly costly because of necessary measures, partly because likely to be so inefficiently designed.",Strongly Agree,9,Free riding is lethal on global public goods.,Strongly Agree,9,"Of course, assuming effectively designed and enforced.",,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,Disagree,5,,Agree,5,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,Disagree,6,,Uncertain,5,,Uncertain,6,"For economists, price floor is great but in reality, it could create a populist backlash and put us further behind. ",,,,,,,,,,,,,,,,,,
Samuelson,Larry,Agree,6,"But the effect of technological advance is hard to predict.  However, the climate change induced by doing nothing may be an even worse drag.",Agree,8,"We already see that voluntary targets, essentially a go-fund-me for climate change mitigation, are easily missed.",Agree,8,The most useful measures are those that bring us closer to a carbon tax.,,,,,,,,,,,,,,,,,,
Scheinkman,José,Disagree,6,,Strongly Agree,8,,Agree,6,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Uncertain,4,Serious efforts could be a major drag on growth if externalities are ignored and if dumb policies are employed.,Strongly Agree,6,"Might perhaps pave the way for something serious, but that's the best that can be said.",Strongly Agree,8,,,,,,,,,,,,,,,,,,,
Shapiro,Carl,Strongly Disagree,8,,Agree,7,,Strongly Disagree,10,,,,,,,,,,,,,,,,,,,
Shimer,Robert,Agree,3,"Caveat: climate change may also be a drag, and this will mitigate climate change.",Strongly Agree,8,,Agree,5,Enforcement?,,,,,,,,,,,,,,,,,,
Stock,James,Disagree,7,"Efficient measures will, as we have seen, spur innovation with little macro impact. Inefficient measures could be more problematic.",Disagree,3,"Nuanced: Politicians and voters seem ready to adopt targets, which in turn have linked (limited) action. All political economy.",Strongly Agree,8,"But for now leave out developing economies. Also, a carbon price (explicit or implicit) is necessary but not sufficient.",,,,,,,,,,,,,,,,,,
Thaler,Richard,Uncertain,10,The answer depends a lot on technological change. I am highly confident that I don't know.,Uncertain,1,Depends a lot on international social norms. We have avoided (so far) a nuclear war ending to the world. Might happen again.  ,Strongly Agree,10,Better question: The bipartisan opposition to carbon pricing in the US is the #1 greatest failing of the economics profession. (I agree.),,,,,,,,,,,,,,,,,,
Udry,Christopher,Disagree,1,Climate change will hurt a lot; efforts to combat it will be costly but perhaps not growth-reducing in themselves -as we measure growth,Agree,7,,Strongly Agree,9,,,,,,,,,,,,,,,,,,,
