Last Name,First Name,US export controls on advanced semiconductor technology and equipment will contribute substantially to maintaining US technological dominance in the industry over the next ten years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,US export controls on advanced semiconductor technology and equipment will substantially raise China's presence in the industry over the next ten years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"In ten years, historians will judge that the US’s current use of sanctions, export restrictions and tariffs in critical sectors substantially improved the median American citizen’s welfare.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Kashyap,Anil,Uncertain,3,"Substantial is a high bar, especially since the policies seem so erratic. ",Disagree,3,My forecast is that China is going to raise its presence anyway.  So drawing a causal link to this US policy is hard,Disagree,5,It seems at least as likely that the disengagement and fracturing of trading relations makes us worse off.  
Klenow,Pete,Uncertain,5,,Uncertain,5,,Disagree,3,
Levin,Jonathan,Uncertain,3,,Agree,5,,Uncertain,1,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Disagree,3,,Agree,2,"On both these questions, it is uncertain because of the extent of leakage of the technology. Hard to see that US can prevent leakage over more than a few years, if that.",Disagree,5,Same answer as before. 
Obstfeld,Maurice,Uncertain,2,,Agree,2,,Strongly Disagree,5,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Uncertain,1,,Agree,8,"China has shown an eagerness to fill other voids left by the US, and is likely to exploit this opportunity as well.",Disagree,8,"These policies are likely to inhibit the innovation and dynamism of the US economy, adversely affecting most citizens."
Scheinkman,José,Uncertain,5,,Agree,7,,Disagree,6,
Schmalensee,Richard,Disagree,7,,Agree,5,,Strongly Disagree,8,
Scott Morton,Fiona,Agree,1,,Disagree,5,,No Opinion,,
Shapiro,Carl,Disagree,7,,Agree,4,,Strongly Agree,8,
Shimer,Robert,Uncertain,3,,Agree,7,,Disagree,7,
Stantcheva,Stefanie,Uncertain,6,,Agree,6,,Uncertain,5,
Stock,James,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stokey,Nancy,Disagree,3,,Agree,3,,Disagree,4,
Syverson,Chad,Uncertain,6,"These are tough. Lots of uncertainty. Export restrictions seem to be mildly effective at present, but there is a lot of time and scope for substitution and change.",Uncertain,6,,Uncertain,6,
Thaler,Richard,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Strongly Disagree,3,,Uncertain,6,"So much is going to depend on the specifics of the restrictions, how they are enforced, and on the responses of other countries.",Strongly Disagree,9,
Werning,Ivan,Uncertain,5,"In the short term, probably yes. Over 10 years having substantial impact is much less certain, especially due to the response and investment by China.",Agree,5,The incentives are now there and the response by China has been in that direction. So this seems to me quite likely.,Uncertain,4,"Putting aside the mistaken broader protectionist trade policy, one can make a geopolitical case for some narrow trade and industrial policies in critical sectors. Those decisions are inherently uncertain and difficult to judge at this point. "
