Last Name,First Name,The release of strategic oil reserves announced by the International Energy Agency will deliver substantially lower US gasoline prices at the pump over the next six months than would otherwise have been the case.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Assuming that world oil prices over the next six months continue to be elevated and volatile, temporarily suspending the federal gasoline tax would deliver substantially lower gas prices at the pump than otherwise over that period.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A temporary cap on US gasoline prices would substantially lower prices at the pump over the next six months without creating scarcity.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Nordhaus,William,Strongly Agree,9,,Disagree,9,,Disagree,9,
Obstfeld,Maurice,Uncertain,3,,Agree,3,,Disagree,4,
Pathak,Parag,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Uncertain,1,The 400 million barrels to be released is small compared to total world oil consumption (about 100 million barrels per day).,Disagree,6,"Suspending the federal tax, and assuming (perhaps incorrectly) no compensating price increase from suppliers, will reduce the price of a gallon of gas by 18.4 cents, which is unlikely to be enough to prompt a significant behavioral response.",Disagree,6,"If enough oil flows that there will be no scarcity, then price increases would be modest without a cap.  If prices would otherwise increase significantly, then the cap will lead to market imbalance."
Scheinkman,José,Uncertain,8,"Though the low price-elasticity of demand indicates that, all other things equal, price should react strongly to the announced reserves release, expectations  of the war outlasting strategic  reserves should increase storage, limiting the temporary price-effects.  ",Uncertain,7,"In the short run, any decrease in price to final users would have to be supported by lowering the amount of  oil storage in regions where transport is not affected by the war, what would depend on expectations on the duration of the war.",Strongly Disagree,10,
Schmalensee,Richard,Disagree,4,Doesn't seem large enough.,Agree,6,Suspending the tax will clearly lower prices.,Uncertain,6,Impact on expectations unclear.
Scott Morton,Fiona,Disagree,8,volume is too small,Uncertain,1,,Disagree,6,
Shapiro,Carl,Strongly Disagree,10,,Strongly Agree,10,,Strongly Disagree,10,
Shimer,Robert,Agree,5,,Agree,5,,Strongly Disagree,10,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Agree,8,"Back of envelope: shortfall from a 40 day closure = 40 days x 20mbbl/d = 800mbbl. Coordinated release = 400mbbl (IEA). Timing matters but oil is durable and storable. So, reduction in oil price shock of 1/2. More or less.",Strongly Agree,9,"Strong evidence of complete pass-through of costs in highly competitive retail gasoline market. Gas tax = $0.184/gal. To consumers, that is ""substantial"". Of course, this doesn't make it good policy (it is not).",Strongly Disagree,7,It is hard to see how this would work. Retailers operate on very thin margins. Who would be selling at a loss?
Stokey,Nancy,Uncertain,1,,Agree,8,,Disagree,8,
Syverson,Chad,Uncertain,8,"Announced 400m bbl release is about 3 weeks of oil through Strait of Hormuz. Doesn't seem like much given expected disruption, but OTOH small actual movements do seem to move prices sometimes. Maybe it would work as a signal of future releases.",Agree,5,"Evidence seems to say pass-through rate of gas tax is high (consistent with inelastic demand), so dropping gas tax would probably show up as lower prices. This isn't to say it is necessarily a good idea, however.",Strongly Disagree,8,I'm so old I remember the last time we tried this stupid idea.
Thaler,Richard,Strongly Disagree,4,,Strongly Disagree,5,,Strongly Disagree,7,
Udry,Christopher,Disagree,5,They are just too small to have a substantial effect.,Uncertain,3,"To a first approximation, the incidence of the gas tax is on consumers (the supply is pretty elastic at the world price), so prices would go down by 15 to 18 cents per gallon. Is  that substantial?",Strongly Disagree,9,"If the cap is sufficient to lower prices substantially, there will be shortages or a black market."
Werning,Ivan,Uncertain,7,"172m barrels over 4m~=7% of US consumption, not trivial can lower price vs counterfactual, even if small relative to rise. But if global oil shock is persistent, prices are forward looking so effect may be small (plus planned replenishing of reserves)
—> not clearly substantial.",Agree,7,"Federal tax ~18c per gallon. For given local oil prices It lowers the costs of supplying gasoline and tends to reduce prices for consumers. In very short effects may be somewhat smaller, but passthrough has been shown to be high. 

Note: Subjective if 18c is significant.",Disagree,9,"On its own surely not, as theory and history show, in the US in the past and more recently in other countries.  Combined with pressure or incentives on suppliers, possibly, but unlikely. "
