Last Name,First Name,The wave of immigration to Germany after 2015 (and up to the Russian invasion of Ukraine) has been a net positive for the country's economy.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Immigration to EU countries has been a net positive for government finances, adding substantially more in tax revenues than the increased costs associated with integration of immigrants.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Given Europe's low and falling fertility rates (from seven million births per year in 1960 to four million today), maintaining its position as a world economic power will require increased immigration over the medium term.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Leuz,Christian,Agree,4,"If we take GDP as measure for net positive, then evidence supports the statement. Small pos. effect (see links). Effects on medium & long-term growth depend on how migrants are integrated into labor markets. 60% of 2015 arrivers in Germany were in jobs by 2019 (see links)",Agree,4,Evidence supports the statement. Migrants compare favorably to natives in terms of payments and contributions (see links). Their favorable age structure is an important factor.,Agree,5,See very powerful evidence in the link below
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,8,,Agree,8,,Strongly Agree,9,
Pagano,Marco,Agree,3,,Strongly Agree,9,,Strongly Agree,9,
Pastor,Lubos,Uncertain,3,,Uncertain,3,,Uncertain,3,
Portes,Richard,Agree,6,,Agree,6,,Agree,6,
Prendergast,Canice,Agree,6,,Strongly Agree,5,,Agree,7,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Uncertain,7,,Uncertain,7,"Not ""substantially"" more, taking a present value intertemporal perspective.",Disagree,7,"(i) no clear empirical relation between the size of population and economic growth (scale effects) (ii) Europe is currently quite high population density, (iii) the decline in fertility is not inevitable, and can change."
Repullo,Rafael,Uncertain,4,,Uncertain,4,,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Strongly Disagree,8,,Uncertain,8,"While the EU could benefit significantly from well structured immigration policies, the past decade was marred by very poorly planned migration policies and insufficient resources to integrate migrants effectively into productive economic activities.",Agree,6,
Storesletten,Kjetil,Disagree,7,,Disagree,7,,Agree,8,Skilled young migrants are a bit net benefit. Europe need them. A point-based immigration system could deliver the needed high-skilled immigration
Sturm,Daniel,Agree,6,,Uncertain,5,,Agree,4,
Tenreyro,Silvana,Uncertain,3,,Uncertain,3,,Agree,6,
Van der Ploeg,Rick,Agree,7,,Uncertain,3,,Agree,6,
Vickers,John,No Opinion,,,No Opinion,,,Disagree,4,Labour is but one factor of production 
Voth,Hans-Joachim,Strongly Disagree,8,"Migration from low-trust cultures has been a massive negative; the decline in public safety has dramatically reduced social cohesion, raised political polarization. Social welfare spending on migrants is very high and detrimental to the country's competitiveness.",Strongly Disagree,8,"all the disaggregated studies (Denmark, Holland, France) suggest low-skill migration is a net negative; for sending countries poorer than the host country, on average the receipts-transfers to new migrants are on net negative  across the life cycle",Disagree,9,Europe's population is already small; its strength is its unique culture and diversity of indigenous cultures; slight extensions of working ages can counter pressures in the social security systems. Great power status requires serious priority given to defence.
Whelan,Karl,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,1,
Wyplosz,Charles,Agree,6,,Agree,6,,Uncertain,6,Not clear that immigration has to increase quantitatively. Quality also matters.
