statement_id,poll_id,poll_title,poll_url,panel_type,publication_date,topic_or_category,question_label,statement_text,poll_context,n_respondents,n_answered_excluding_no_opinion,n_strongly_agree,n_agree,n_uncertain,n_disagree,n_strongly_disagree,n_no_opinion,n_missing_or_did_not_answer,share_agree,share_disagree,share_uncertain,net_agreement,majority_position,consensus_level,polarization_score,source_csv_url,extraction_method,extraction_notes,issue_categories,category_source,category_confidence,weighted_share_strongly_agree,weighted_share_agree_only,weighted_share_uncertain,weighted_share_disagree_only,weighted_share_strongly_disagree,weighted_share_agree,weighted_share_disagree,weighted_net_agreement,weighted_polarization_score,consensus_direction,consensus_score,consensus_bucket,confidence_weighted_direction,confidence_weighted_score,confidence_weighted_bucket,confidence_weighted_shift,consensus_percentile,share_agree_percentile,confidence_weighted_consensus_percentile,confidence_weighted_share_agree_percentile
europe-ecb-asset-purchases__question-b,europe__ecb-asset-purchases,ECB Asset Purchases,https://kentclarkcenter.org/surveys/ecb-asset-purchases/,Europe,2017-04-25,"Economic Growth, Development, & Productivity; Monetary Policy, Interest Rates, & Inflation",Question B,"If the economic outlook in the euro area becomes less favorable, then increasing the ECB's asset purchase program (in size or duration) would substantially increase the euro area's economic growth over the following five years.",,50,38,1,7,21,5,4,2,10,0.210526,0.236842,0.552632,-0.026316,Uncertain,Split / disagreement,0.210526,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-04-25-Euro-EEP-ECB-Asset-Purchases.csv,mixed,,Growth/productivity; Monetary policy; International economics,mixed,0.80,0.040000,0.200000,0.500000,0.130000,0.130000,0.240000,0.260000,-0.020000,0.240000,Uncertain,0.315790,Weak consensus,Uncertain,0.240000,Weak consensus,no,42.58,17.92,30.30,19.39
europe-energy-sources__question-a,europe__energy-sources,Energy Sources,https://kentclarkcenter.org/surveys/energy-sources/,Europe,2017-11-09,"Environment, Climate Change, & Natural Resources; Science, Technology, & Innovation",Question A,"Subsidizing renewable energy sources is better than taxing fossil fuels, assuming the subsidy or tax would be set at levels that would reduce carbon emissions by an equivalent amount.",,49,32,1,5,7,15,4,3,14,0.187500,0.593750,0.218750,-0.406250,Disagree,Split / disagreement,0.187500,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-11-09-Euro-EEP-Energy-Sources.csv,mixed,,Climate/environment; Energy; Growth/productivity; Industrial policy; Taxation,mixed,0.80,0.050000,0.140000,0.180000,0.470000,0.160000,0.190000,0.630000,-0.440000,0.190000,Disagree,0.375000,Moderate consensus,Disagree,0.440000,Moderate consensus,no,47.45,15.77,47.24,15.82
europe-energy-sources__question-b,europe__energy-sources,Energy Sources,https://kentclarkcenter.org/surveys/energy-sources/,Europe,2017-11-09,"Environment, Climate Change, & Natural Resources; Science, Technology, & Innovation",Question B,Germany’s solar-energy subsidies to date have produced net social benefits for Germany.,,49,27,1,7,13,6,0,8,14,0.296296,0.222222,0.481481,0.074074,No clear majority,Split / disagreement,0.222222,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-11-09-Euro-EEP-Energy-Sources.csv,mixed,,Climate/environment; Energy; Growth/productivity; Industrial policy; Taxation,mixed,0.80,0.070000,0.260000,0.420000,0.240000,0.000000,0.330000,0.240000,0.090000,0.240000,Uncertain,0.185185,Weak consensus,Uncertain,0.090000,No clear consensus,no,27.75,24.35,12.52,25.22
europe-energy-sources__question-c,europe__energy-sources,Energy Sources,https://kentclarkcenter.org/surveys/energy-sources/,Europe,2017-11-09,"Environment, Climate Change, & Natural Resources; Science, Technology, & Innovation",Question C,Solar-energy subsidies to date in Germany and other countries have produced net social benefits for the world.,,49,29,2,15,9,3,0,6,14,0.586207,0.103448,0.310345,0.482759,Agree,Split / disagreement,0.103448,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-11-09-Euro-EEP-Energy-Sources.csv,mixed,,Climate/environment; Energy; Growth/productivity; Industrial policy; Taxation,mixed,0.80,0.090000,0.500000,0.290000,0.120000,0.000000,0.590000,0.120000,0.470000,0.120000,Agree,0.275862,Weak consensus,Agree,0.300000,Weak consensus,no,38.61,51.30,35.34,47.15
europe-european-champions__question-a,europe__european-champions,European Champions,https://kentclarkcenter.org/surveys/european-champions/,Europe,2019-02-27,"Business, Management, & Corporate Performance; Regulation, Competition, & Market Power",Question A,"The average European is better off if Europe’s competition authorities let firms merge into European champions in their sectors, even it weakens competition.",,50,39,0,3,13,12,11,0,11,0.076923,0.589744,0.333333,-0.512821,Disagree,Split / disagreement,0.076923,https://kentclarkcenter.org/wp-content/uploads/2020/09/2019-02-27-Euro-EEP-European-Champions.csv,mixed,,Antitrust/competition; International economics,mixed,0.80,0.000000,0.070000,0.260000,0.330000,0.340000,0.070000,0.670000,-0.600000,0.070000,Disagree,0.256411,Weak consensus,Disagree,0.410000,Moderate consensus,no,36.37,7.69,45.05,7.44
europe-european-champions__question-b,europe__european-champions,European Champions,https://kentclarkcenter.org/surveys/european-champions/,Europe,2019-02-27,"Business, Management, & Corporate Performance; Regulation, Competition, & Market Power",Question B,"If China and other countries use policies that create giant international firms, then the average European is better off if Europe's competition authorities let firms merge into European champions in their sectors, even it weakens competition.",,50,39,2,1,19,13,4,0,11,0.076923,0.435897,0.487179,-0.358974,No clear majority,Split / disagreement,0.076923,https://kentclarkcenter.org/wp-content/uploads/2020/09/2019-02-27-Euro-EEP-European-Champions.csv,mixed,,Antitrust/competition; International economics,mixed,0.80,0.080000,0.010000,0.410000,0.350000,0.140000,0.090000,0.490000,-0.400000,0.090000,Uncertain,0.051282,No clear consensus,Disagree,0.080000,No clear consensus,yes,7.10,7.69,11.32,8.73
europe-european-deposit-insurance__question-a,europe__european-deposit-insurance,European Deposit Insurance,https://kentclarkcenter.org/surveys/european-deposit-insurance/,Europe,2019-04-09,Financial Markets & Banking; Public Debt & Deficits,Question A,"A common European deposit insurance scheme , once fully implemented, would increase the stability of European economies in the event of another financial crisis.",,50,36,11,19,2,4,0,2,12,0.833333,0.111111,0.055556,0.722222,Agree,Strong consensus agree,0.111111,https://kentclarkcenter.org/wp-content/uploads/2020/09/2019-04-09-Euro-EEP-European-Deposit-Insurance.csv,mixed,,Banking; Financial regulation; Fiscal policy; Public finance,source,0.90,0.320000,0.550000,0.030000,0.100000,0.000000,0.870000,0.100000,0.770000,0.100000,Agree,0.722222,Strong consensus,Agree,0.770000,Strong consensus,no,75.92,76.14,74.11,75.53
europe-european-deposit-insurance__question-b,europe__european-deposit-insurance,European Deposit Insurance,https://kentclarkcenter.org/surveys/european-deposit-insurance/,Europe,2019-04-09,Financial Markets & Banking; Public Debt & Deficits,Question B,"A common European deposit insurance scheme , once fully implemented, would increase the likelihood of another financial crisis in Europe.",,50,36,0,4,8,12,12,2,12,0.111111,0.666667,0.222222,-0.555556,Disagree,Moderate consensus disagree,0.111111,https://kentclarkcenter.org/wp-content/uploads/2020/09/2019-04-09-Euro-EEP-European-Deposit-Insurance.csv,mixed,,Banking; Financial regulation; Fiscal policy; Public finance,source,0.90,0.000000,0.110000,0.180000,0.340000,0.380000,0.110000,0.720000,-0.610000,0.110000,Disagree,0.444445,Moderate consensus,Disagree,0.540000,Moderate consensus,no,54.38,10.05,55.30,10.47
us-fed-strategy__question-a,us__fed-strategy,Fed Strategy,https://kentclarkcenter.org/surveys/fed-strategy/,US,2020-09-16,"Jobs, Pay, & Unemployment; Monetary Policy, Interest Rates, & Inflation",Question A,The Fed’s revised strategy to focus on employment shortfalls and a more flexible interpretation of the inflation target will make little practical difference to monetary policy outcomes over the next decade.,,43,35,0,10,16,9,0,6,2,0.285714,0.257143,0.457143,0.028571,No clear majority,Split / disagreement,0.257143,https://kentclarkcenter.org/wp-content/uploads/2020/09/2020-09-16-US-EEP-Fed-Strategy.csv,mixed,,Labor markets; Monetary policy,source,0.90,0.000000,0.330000,0.370000,0.310000,0.000000,0.330000,0.310000,0.020000,0.310000,Uncertain,0.171429,Weak consensus,Uncertain,0.040000,No clear consensus,no,25.56,23.41,6.82,25.22
europe-frances-labor-market__question-a,europe__frances-labor-market,France’s Labor Market,https://kentclarkcenter.org/surveys/frances-labor-market/,Europe,2017-05-17,"Economic Growth, Development, & Productivity; Jobs, Pay, & Unemployment",Question A,"Revising France’s labor market policies — by reducing employment protection, decentralizing labor negotiations to the firm level, and making training programs more accessible and responsive to labor demands — would, all else equal, increase productivity in France’s economy.",,50,40,10,23,5,2,0,2,8,0.825000,0.050000,0.125000,0.775000,Agree,Strong consensus agree,0.050000,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-05-17-Euro-EEP-Frances-Labor-Market.csv,mixed,,Growth/productivity; Labor markets,source,0.90,0.320000,0.530000,0.100000,0.050000,0.000000,0.850000,0.050000,0.800000,0.050000,Agree,0.700000,Strong consensus,Agree,0.750000,Strong consensus,no,73.82,74.80,71.70,72.86
europe-frances-labor-market__question-b,europe__frances-labor-market,France’s Labor Market,https://kentclarkcenter.org/surveys/frances-labor-market/,Europe,2017-05-17,"Economic Growth, Development, & Productivity; Jobs, Pay, & Unemployment",Question B,Reducing employment protection would reduce the equilibrium unemployment rate in France.,,50,41,6,23,11,1,0,1,8,0.707317,0.024390,0.268293,0.682927,Agree,Moderate consensus agree,0.024390,https://kentclarkcenter.org/wp-content/uploads/2020/09/2017-05-17-Euro-EEP-Frances-Labor-Market.csv,mixed,,Growth/productivity; Labor markets,source,0.90,0.160000,0.560000,0.260000,0.030000,0.000000,0.720000,0.030000,0.690000,0.030000,Agree,0.439024,Moderate consensus,Agree,0.460000,Moderate consensus,no,53.66,63.32,48.57,59.36
europe-gentrification__question-a,europe__gentrification,Gentrification,https://kentclarkcenter.org/surveys/gentrification/,Europe,2019-04-30,"Investment, Infrastructure, & Cities; Regulation, Competition, & Market Power",Question A,"Residents of big European cities would be better off, on balance, if governments did more to counter gentrification , for example by using rent and other housing subsidies, public housing investments, zoning regulations, or similar policies.","When more affluent people move into an urban neighborhood, the influx can raise house prices and the value of local amenities, leading to the displacement of long-time lower-income residents – a process sometimes known as gentrification . We invited our European panel of economic experts to express their views on whether governments in Europe should be doing more to counter this phenomenon via a range of housing market policies. Read More...",50,33,1,6,12,13,1,4,13,0.212121,0.424242,0.363636,-0.212121,No clear majority,Split / disagreement,0.212121,https://kentclarkcenter.org/wp-content/uploads/2020/09/2019-04-30-Euro-EEP-Gentrification.csv,mixed,,Housing/urban policy; Growth/productivity; Antitrust/competition,source,0.90,0.010000,0.150000,0.410000,0.410000,0.010000,0.160000,0.420000,-0.260000,0.160000,Disagree,0.060606,No clear consensus,Disagree,0.010000,No clear consensus,no,9.56,18.28,1.74,13.77
europe-german-and-european-economic-policy__question-a,europe__german-and-european-economic-policy,German and European Economic Policy,https://kentclarkcenter.org/surveys/german-and-european-economic-policy/,Europe,2020-02-24,"Business Cycles, Recessions, & Crises; Taxes & Public Spending",Question A,"Germany's current account surplus is undesirable even from a purely German viewpoint: the country would be better off if, for example, it ran a smaller primary surplus, in turn leading to a smaller current account surplus.",,46,32,12,11,6,3,0,4,10,0.718750,0.093750,0.187500,0.625000,Agree,Moderate consensus agree,0.093750,https://kentclarkcenter.org/wp-content/uploads/2020/09/2020-02-24-Euro-EEP-German-and-European-Economic-Policy.csv,mixed,,Taxation; Fiscal policy; Public finance; Monetary policy,mixed,0.80,0.490000,0.290000,0.120000,0.090000,0.000000,0.780000,0.090000,0.690000,0.090000,Agree,0.531250,Moderate consensus,Agree,0.660000,Strong consensus,no,60.90,64.21,63.68,65.37
europe-german-and-european-economic-policy__question-b,europe__german-and-european-economic-policy,German and European Economic Policy,https://kentclarkcenter.org/surveys/german-and-european-economic-policy/,Europe,2020-02-24,"Business Cycles, Recessions, & Crises; Taxes & Public Spending",Question B,"The Eurozone would be in better shape if fiscal policy were more expansionary, which would allow monetary policy to be slightly less so.",,46,34,9,17,6,2,0,2,10,0.764706,0.058824,0.176471,0.705882,Agree,Moderate consensus agree,0.058824,https://kentclarkcenter.org/wp-content/uploads/2020/09/2020-02-24-Euro-EEP-German-and-European-Economic-Policy.csv,mixed,,Taxation; Fiscal policy; Public finance; Monetary policy,mixed,0.80,0.330000,0.460000,0.150000,0.050000,0.000000,0.790000,0.050000,0.740000,0.050000,Agree,0.588235,Moderate consensus,Agree,0.640000,Strong consensus,no,65.15,68.68,62.43,66.44
europe-german-and-european-economic-policy__question-c,europe__german-and-european-economic-policy,German and European Economic Policy,https://kentclarkcenter.org/surveys/german-and-european-economic-policy/,Europe,2020-02-24,"Business Cycles, Recessions, & Crises; Taxes & Public Spending",Question C,"If there is a recession in the Eurozone, it will be essential to have a coordinated fiscal expansion.",,46,33,11,16,4,2,0,3,10,0.818182,0.060606,0.121212,0.757576,Agree,Strong consensus agree,0.060606,https://kentclarkcenter.org/wp-content/uploads/2020/09/2020-02-24-Euro-EEP-German-and-European-Economic-Policy.csv,mixed,,Taxation; Fiscal policy; Public finance; Monetary policy,mixed,0.80,0.400000,0.470000,0.090000,0.040000,0.000000,0.870000,0.040000,0.830000,0.040000,Agree,0.696970,Strong consensus,Agree,0.780000,Strong consensus,no,73.37,73.86,75.13,75.53
europe-governments-and-economic-performance__question-a,europe__governments-and-economic-performance,Governments and Economic Performance,https://kentclarkcenter.org/surveys/governments-and-economic-performance/,Europe,2018-10-02,"Democracy, Government, & Public Policy; Social Policy & Society",Question A,Voters overestimate the effect that current governments have on their economies’ concurrent economic performance.,,50,37,13,19,3,2,0,2,11,0.864865,0.054054,0.081081,0.810811,Agree,Strong consensus agree,0.054054,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-10-02-Euro-EEP-Governments-and-Economic-Performances.csv,mixed,,Political economy; Public finance,source,0.90,0.430000,0.460000,0.070000,0.040000,0.000000,0.890000,0.040000,0.850000,0.040000,Agree,0.783784,Strong consensus,Agree,0.820000,Strong consensus,no,80.70,80.61,78.65,79.28
europe-immigration-and-government-budgets__question-a,europe__immigration-and-government-budgets,Immigration and Government Budgets,https://kentclarkcenter.org/surveys/immigration-and-government-budgets/,Europe,2018-11-07,"Demographics, Aging, & Gender; Migration",Question A,People who migrated to Europe between 2015 and 2018 are likely — over the next two decades — to contribute more in taxes paid than they receive in benefits and public services.,,50,36,6,17,9,4,0,1,13,0.638889,0.111111,0.250000,0.527778,Agree,Split / disagreement,0.111111,https://kentclarkcenter.org/wp-content/uploads/2020/09/2018-11-07-Euro-EEP-Immigration-and-Government-Budgets.csv,mixed,,Labor markets; Inequality/redistribution; Immigration,source,0.90,0.240000,0.460000,0.190000,0.110000,0.000000,0.700000,0.110000,0.590000,0.110000,Agree,0.388889,Moderate consensus,Agree,0.510000,Moderate consensus,no,48.97,55.94,52.36,57.22
europe-italys-banks__question-a,europe__italys-banks,Italy’s Banks,https://kentclarkcenter.org/surveys/italys-banks/,Europe,2016-12-21,"Business Cycles, Recessions, & Crises; Financial Markets & Banking",Question A,"Setting the EU rules aside, and assuming it would take 2.5% of Italy’s GDP to recapitalize its banks, the Italian government would improve financial stability in Europe if it injected this amount of public funds into its banks.",,50,44,5,21,14,3,1,3,3,0.590909,0.090909,0.318182,0.500000,Agree,Split / disagreement,0.090909,https://kentclarkcenter.org/wp-content/uploads/2020/09/2016-12-21-Euro-EEP-Italys-Banks.csv,mixed,,Banking; Financial regulation; Political economy,mixed,0.80,0.170000,0.440000,0.290000,0.070000,0.030000,0.610000,0.100000,0.510000,0.100000,Agree,0.272727,Weak consensus,Agree,0.320000,Weak consensus,no,38.20,52.06,37.34,48.84
europe-italys-banks__question-b,europe__italys-banks,Italy’s Banks,https://kentclarkcenter.org/surveys/italys-banks/,Europe,2016-12-21,"Business Cycles, Recessions, & Crises; Financial Markets & Banking",Question B,"If Italy were to inject public funds into its banks without imposing losses on at least some claimants, an important cost would be the effect on future incentives (economic or political) in Europe.",,50,44,11,28,1,4,0,3,3,0.886364,0.090909,0.022727,0.795455,Agree,Strong consensus agree,0.090909,https://kentclarkcenter.org/wp-content/uploads/2020/09/2016-12-21-Euro-EEP-Italys-Banks.csv,mixed,,Banking; Financial regulation; Political economy,mixed,0.80,0.300000,0.590000,0.030000,0.090000,0.000000,0.890000,0.090000,0.800000,0.090000,Agree,0.795455,Strong consensus,Agree,0.800000,Strong consensus,no,81.95,83.02,77.14,79.28
europe-migration-within-europe__question-a,europe__migration-within-europe,Migration Within Europe,https://kentclarkcenter.org/surveys/migration-within-europe/,Europe,2016-12-07,"Jobs, Pay, & Unemployment; Migration",Question A,Freer movement of people to live and work across borders within Europe has made the average western European citizen better off since the 1980s.,,50,46,22,23,1,0,0,1,3,0.978261,0.000000,0.021739,0.978261,Agree,Strong consensus agree,0.000000,https://kentclarkcenter.org/wp-content/uploads/2016/12/2016-12-07-Euro-EEP-Migration-within-Europe.csv,mixed,,Labor markets; Immigration,source,0.90,0.540000,0.450000,0.010000,0.000000,0.000000,0.990000,0.000000,0.990000,0.000000,Agree,0.956522,Strong consensus,Agree,0.980000,Strong consensus,no,96.29,96.92,95.19,95.72
europe-migration-within-europe__question-b,europe__migration-within-europe,Migration Within Europe,https://kentclarkcenter.org/surveys/migration-within-europe/,Europe,2016-12-07,"Jobs, Pay, & Unemployment; Migration",Question B,Freer movement of people to live and work across borders within Europe has made many low-skilled western European citizens worse off since the 1980s.,,50,46,0,12,10,19,5,1,3,0.260870,0.521739,0.217391,-0.260870,Disagree,Split / disagreement,0.260870,https://kentclarkcenter.org/wp-content/uploads/2016/12/2016-12-07-Euro-EEP-Migration-within-Europe.csv,mixed,,Labor markets; Immigration,source,0.90,0.000000,0.240000,0.210000,0.410000,0.140000,0.240000,0.550000,-0.310000,0.240000,Disagree,0.260869,Weak consensus,Disagree,0.310000,Weak consensus,no,36.95,21.58,36.27,19.39
europe-privatization-in-central-and-eastern-europe__question-a,europe__privatization-in-central-and-eastern-europe,Privatization in Central and Eastern Europe,https://kentclarkcenter.org/surveys/privatization-in-central-and-eastern-europe/,Europe,2016-12-07,"Business, Management, & Corporate Performance; Democracy, Government, & Public Policy",Question A,"On the whole, the shift from state to private ownership of many industrial assets in central and eastern European countries after communism has increased productivity in those countries.",,50,44,25,18,1,0,0,3,3,0.977273,0.000000,0.022727,0.977273,Agree,Strong consensus agree,0.000000,https://kentclarkcenter.org/wp-content/uploads/2016/12/2016-12-07-Euro-EEP-Privatization-in-Central-and-Eastern-Europe.csv,mixed,,Political economy; Public finance; Growth/productivity,mixed,0.80,0.640000,0.350000,0.010000,0.000000,0.000000,0.990000,0.000000,0.990000,0.000000,Agree,0.954546,Strong consensus,Agree,0.980000,Strong consensus,no,96.20,96.83,95.19,95.72
