statement_id,publication_date,panel_type,poll_title,question_label,confidence_weighted_direction,confidence_weighted_score,confidence_weighted_consensus_percentile,weighted_share_agree,weighted_share_disagree,weighted_share_uncertain,statement_text,poll_url
us-primary-voting__question-a,2016-03-07,US,Primary Voting,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"There is no perfect voting system. That is, no voting system can ensure that the winner will be the person who best represents voters’ wishes, including how intensely they favor or disfavor each candidate.",https://kentclarkcenter.org/surveys/primary-voting/
europe-trade-within-europe__question-a,2016-12-07,Europe,Trade Within Europe,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,Freer movement of goods and services across borders within Europe has made the average western European citizen better off since the 1980s.,https://kentclarkcenter.org/surveys/trade-within-europe/
us-the-cbo__question-a,2017-03-21,US,The CBO,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.",https://kentclarkcenter.org/surveys/the-cbo/
europe-diversified-investing__question-a,2017-03-22,Europe,Diversified Investing,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",https://kentclarkcenter.org/surveys/diversified-investing/
us-behavioral-economics__question-a,2017-10-19,US,Behavioral Economics,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Insights from psychology about individual behavior – examples of which include limited rationality, low self-control, or a taste for fairness – predict several important types of observed market outcomes that fully-rational economic models do not.",https://kentclarkcenter.org/surveys/behavioral-economics/
us-tax-reform-2__question-b,2017-11-21,US,Tax Reform,Question B,Agree,1.000000,98.04,1.000000,0.000000,0.000000,If the US enacts a tax bill similar to those currently moving through the House and Senate — and assuming no other changes in tax or spending policy — the US debt-to-GDP ratio will be substantially higher a decade from now than under the status quo.,https://kentclarkcenter.org/surveys/tax-reform-2/
us-the-ncaa__question-a,2018-04-02,US,The NCAA,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"NCAA Division I schools coordinate compensation for men’s basketball and football players (precluding actual pay and limiting non-monetary benefits), providing rents to member schools (which may be shared with others) at the expense of those players.",https://kentclarkcenter.org/surveys/the-ncaa/
us-diversified-investing-2__question-a,2019-01-28,US,Diversified Investing,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"In general, absent any inside information, an equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",https://kentclarkcenter.org/surveys/diversified-investing-2/
us-experimental-research-development-economics-and-poverty-reduction-2__question-a,2019-10-25,US,"Experimental Research, Development Economics and Poverty Reduction",Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,Randomized control trials are a valuable tool for answering some long unsettled questions in development economics research.,https://kentclarkcenter.org/surveys/experimental-research-development-economics-and-poverty-reduction-2/
us-policy-for-the-covid-19-crisis__question-c,2020-03-27,US,Policy for the COVID-19 Crisis,Question C,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Optimally, the government would invest more than it is currently doing in expanding treatment capacity through steps such as building temporary hospitals, accelerating testing, making more masks and ventilators, and providing financial incentives for the production of a successful vaccine.",https://kentclarkcenter.org/surveys/policy-for-the-covid-19-crisis/
us-inequality-and-the-covid-19-crisis__question-c,2020-04-13,US,Inequality and the COVID-19 Crisis,Question C,Agree,1.000000,98.04,1.000000,0.000000,0.000000,The mortality impact of Covid-19 is likely to fall disproportionately on disadvantaged socio-economic groups.,https://kentclarkcenter.org/surveys/inequality-and-the-covid-19-crisis/
us-political-economics__question-a,2020-06-04,US,Political Economics,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Political conflict plays a key role in shaping economic decisions, policies and outcomes.",https://kentclarkcenter.org/surveys/political-economics/
europe-political-economics-2__question-a,2020-06-08,Europe,Political Economics,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Political conflict plays a key role in shaping economic decisions, policies and outcomes.",https://kentclarkcenter.org/surveys/political-economics-2/
europe-auction-theory__question-a,2020-10-21,Europe,Auction Theory,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,The practical application of auction theory to the licensing of rights to use public assets like radiospectrum and other natural resources has generated substantially higher government revenues and better allocative efficiency worldwide than would have happened under previous arrangements.,https://kentclarkcenter.org/surveys/auction-theory/
us-vaccine-mandate__question-a,2021-09-21,US,Vaccine Mandate,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,Mandating staff vaccinations and/or regular testing at big employers would promote a faster and stronger economic recovery.,https://kentclarkcenter.org/surveys/vaccine-mandate/
europe-natural-experiments-in-labor-economics-and-beyond__question-b,2021-10-21,Europe,Natural Experiments in Labor Economics and Beyond,Question B,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The ‘credibility revolution’ in empirical economics has improved our understanding of a number of public policy issues, including education, immigration and the minimum wage.",https://kentclarkcenter.org/surveys/natural-experiments-in-labor-economics-and-beyond/
us-roe-v-wade-reversal__question-a,2022-07-12,US,Roe V. Wade Reversal,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"Laws restricting access to abortion are likely to have a negative impact on women's educational attainment, labor market participation, and earnings, particularly those in households of lower socio-economic status.",https://kentclarkcenter.org/surveys/roe-v-wade-reversal/
us-women-and-the-labor-market__question-a,2023-10-18,US,Women and the Labor Market,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"By enabling women’s life choices about education, work and family, the contraceptive pill made a substantial contribution to closing gender gaps in the labor market for professionals.",https://kentclarkcenter.org/surveys/women-and-the-labor-market/
us-argentina__question-a,2023-12-06,US,Argentina,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,The fundamental cause of Argentina’s high inflation is unfunded fiscal commitments that are being financed by the central bank.,https://kentclarkcenter.org/surveys/argentina/
us-prescription-drugs__question-a,2024-03-13,US,Prescription Drugs,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,Allowing Medicare to negotiate prices with pharmaceutical companies will lead to a substantial reduction in the costs of prescription drugs for US retirees.,https://kentclarkcenter.org/surveys/prescription-drugs/
us-institutions-and-prosperity__question-a,2024-10-22,US,Institutions and Prosperity,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The institutions of society - such as constitutions, laws, judiciaries, and property rights - substantially shape economic decisions, policies, and outcomes.",https://kentclarkcenter.org/surveys/institutions-and-prosperity/
europe-institutions-and-prosperity-2__question-a,2024-10-22,Europe,Institutions and Prosperity,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The institutions of society - such as constitutions, laws, judiciaries, and property rights - substantially shape economic decisions, policies, and outcomes.",https://kentclarkcenter.org/surveys/institutions-and-prosperity-2/
finance-stock-market-investing__question-a,2024-11-19,Finance,Stock Market Investing,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"In general, absent any proprietary information, a retail equity investor cannot consistently make accurate predictions about whether the price of an individual stock will rise or fall on a given day.",https://kentclarkcenter.org/surveys/stock-market-investing/
finance-stock-market-investing__question-b,2024-11-19,Finance,Stock Market Investing,Question B,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"In general, absent any proprietary information, a retail equity investor can expect to do better by holding a well-diversified, low-fee, passive index fund than by holding a few stocks.",https://kentclarkcenter.org/surveys/stock-market-investing/
us-labor-statistics__question-a,2025-08-07,US,Labor Statistics,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,There is no evidence to suggest that the employment estimates produced by the Bureau of Labor Statistics are biased so as to favor any particular political party.,https://kentclarkcenter.org/surveys/labor-statistics/
us-energy-and-emissions-in-developing-countries__question-a,2025-09-11,US,Energy and Emissions in Developing Countries,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The OECD’s projected cumulative emissions of greenhouse gases from today until the year 2100 is 616.2 billion metric tons of CO2e, compared to 2,734 billion metric tons for the rest of the world - 82% of the total. (Larsen et al, Rhodium Group, 2024: https://climateoutlook.rhg.com/reports/rhodium-climate-outlook-2024-probabilistic-global-emissions-and-energy-projections ) The domestic net benefits of emissions reductions vary substantially across countries because of differences in income levels and exposure to climate risk.",https://kentclarkcenter.org/surveys/energy-and-emissions-in-developing-countries/
us-sustained-growth-2__question-a,2025-10-22,US,Sustained Growth,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The combination of scientific progress, technological innovation, and openness to new ideas underpinned the emergence of sustained economic growth in the Industrial Revolution.",https://kentclarkcenter.org/surveys/sustained-growth-2/
europe-sustained-growth__question-a,2025-10-22,Europe,Sustained Growth,Question A,Agree,1.000000,98.04,1.000000,0.000000,0.000000,"The combination of scientific progress, technological innovation, and openness to new ideas underpinned the emergence of sustained economic growth in the Industrial Revolution.",https://kentclarkcenter.org/surveys/sustained-growth/
us-gold-standard__question-a,2012-01-12,US,Gold Standard,Question A,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,"If the US replaced its discretionary monetary policy regime with a gold standard, defining a ""dollar"" as a specific number of ounces of gold, the price-stability and employment outcomes would be better for the average American.",https://kentclarkcenter.org/surveys/gold-standard/
us-import-duties__question-a,2016-10-04,US,Import Duties,Question A,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,"Adding new or higher import duties on products such as air conditioners, cars, and cookies — to encourage producers to make them in the US — would be a good idea.",https://kentclarkcenter.org/surveys/import-duties/
us-steel-and-aluminum-tariffs__question-a,2018-03-12,US,Steel and Aluminum Tariffs,Question A,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,Imposing new US tariffs on steel and aluminum will improve Americans’ welfare.,https://kentclarkcenter.org/surveys/steel-and-aluminum-tariffs/
us-modern-monetary-theory__question-a,2019-03-13,US,Modern Monetary Theory,Question A,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,Countries that borrow in their own currency should not worry about government deficits because they can always create money to finance their debt.,https://kentclarkcenter.org/surveys/modern-monetary-theory/
us-modern-monetary-theory__question-b,2019-03-13,US,Modern Monetary Theory,Question B,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,Countries that borrow in their own currency can finance as much real government spending as they want by creating money.,https://kentclarkcenter.org/surveys/modern-monetary-theory/
us-trade-and-exchange-rates__question-a,2019-06-25,US,Trade and Exchange Rates,Question A,Disagree,1.000000,98.04,0.000000,1.000000,0.000000,Mexico's persistent bilateral trade surplus with the United States implies that Mexico is following policies that keep the peso artificially weak against the US dollar.,https://kentclarkcenter.org/surveys/trade-and-exchange-rates/
us-testing-for-coronavirus-infections-and-antibodies__question-b,2020-04-06,US,Testing for Coronavirus Infections and Antibodies,Question B,Agree,0.990000,95.99,0.990000,0.000000,0.000000,Required elements for an economic ‘restart’ after lockdowns include a massive increase in testing capacity (for infections and antibodies) along with a coherent strategy for preventing new outbreaks and reintroducing low-risk/no-risk individuals into public activities.,https://kentclarkcenter.org/surveys/testing-for-coronavirus-infections-and-antibodies/
us-electric-vehicles__question-a,2022-07-26,US,Electric Vehicles,Question A,Agree,0.990000,95.99,0.990000,0.000000,0.000000,"The current $7,500 tax credit for purchasing electric vehicles is regressive.",https://kentclarkcenter.org/surveys/electric-vehicles/
us-taxes__question-a,2011-10-06,US,Taxes,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"All else equal, permanently raising the federal marginal tax rate on ordinary income by 1 percentage point for those in the top (i.e., currently 35%) tax bracket would increase federal tax revenue over the next 10 years.",https://kentclarkcenter.org/surveys/taxes/
europe-migration-within-europe__question-a,2016-12-07,Europe,Migration Within Europe,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,Freer movement of people to live and work across borders within Europe has made the average western European citizen better off since the 1980s.,https://kentclarkcenter.org/surveys/migration-within-europe/
europe-privatization-in-central-and-eastern-europe__question-a,2016-12-07,Europe,Privatization in Central and Eastern Europe,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"On the whole, the shift from state to private ownership of many industrial assets in central and eastern European countries after communism has increased productivity in those countries.",https://kentclarkcenter.org/surveys/privatization-in-central-and-eastern-europe/
europe-china-europe-trade__question-a,2018-04-12,Europe,China-Europe Trade,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"Trade with China makes most Europeans better off because, among other advantages, they can buy goods that are made or assembled more cheaply in China.",https://kentclarkcenter.org/surveys/china-europe-trade/
us-central-banks-and-productivity__question-a,2018-06-29,US,Central Banks and Productivity,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"Britain's Labour party recently proposed giving the Bank of England a target of 3% annual labor productivity growth. Consider the following statement: Central banks cannot significantly increase productivity growth over a ten year horizon, except perhaps by promoting macroeconomic stability.",https://kentclarkcenter.org/surveys/central-banks-and-productivity/
us-fed-appointments__question-a,2019-05-13,US,Fed Appointments,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,Selecting candidates for membership of the Federal Open Market Committee (FOMC) based primarily on their political views would lead to worse monetary policy outcomes than has been the case over the last 15 years.,https://kentclarkcenter.org/surveys/fed-appointments/
europe-inequality-populism-and-redistribution__question-a,2019-09-20,Europe,"Inequality, Populism, and Redistribution",Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,Rising inequality is straining the health of liberal democracy.,https://kentclarkcenter.org/surveys/inequality-populism-and-redistribution/
us-new-visa-ban__question-a,2020-06-26,US,New Visa Ban,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"Even if it is temporary, the ban on visas for skilled workers, including researchers, will weaken US leadership in STEM and R&D.",https://kentclarkcenter.org/surveys/new-visa-ban/
europe-women-and-the-labor-market-2__question-a,2023-10-19,Europe,Women and the Labor Market,Question A,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"By enabling women’s life choices about education, work and family, the contraceptive pill made a substantial contribution to closing gender gaps in the labor market for professionals.",https://kentclarkcenter.org/surveys/women-and-the-labor-market-2/
us-economic-sanctions-and-aid__question-b,2024-02-07,US,Economic Sanctions and Aid,Question B,Agree,0.980000,95.19,0.990000,0.000000,0.010000,"In the absence of continuing flows of Western economic aid, Ukraine's wartime economy will be substantially compromised.",https://kentclarkcenter.org/surveys/economic-sanctions-and-aid/
us-election-economic-policy-ideas__question-d,2024-09-10,US,Election Economic Policy Ideas,Question D,Agree,0.980000,95.19,0.990000,0.000000,0.010000,Widespread use of price controls creates substantial economic distortions.,https://kentclarkcenter.org/surveys/election-economic-policy-ideas/
us-economic-statistics__question-b,2025-03-25,US,Economic Statistics,Question B,Agree,0.980000,95.19,0.990000,0.010000,0.000000,The quality of economic policy-making will be substantially impaired by reduced funding for the core US statistical agencies.,https://kentclarkcenter.org/surveys/economic-statistics/
us-foreign-aid__question-b,2025-04-09,US,Foreign Aid,Question B,Agree,0.980000,95.19,0.990000,0.000000,0.010000,The cancellation of the majority of USAID programs will have substantially negative effects on the most vulnerable people in the recipient countries over the next five years.,https://kentclarkcenter.org/surveys/foreign-aid/
us-ukraine-peace-plans__question-b,2025-12-10,US,Ukraine Peace Plans,Question B,Agree,0.980000,95.19,0.990000,0.000000,0.010000,Pursuing economic interdependence without complementary diplomacy (including credible guarantees of Ukraine’s future security) is unlikely to end the conflict and subsequently preserve peace.,https://kentclarkcenter.org/surveys/ukraine-peace-plans/
us-balanced-budget-amendment__question-a,2017-11-07,US,Balanced Budget Amendment,Question A,Disagree,0.980000,95.19,0.010000,0.990000,0.000000,Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.,https://kentclarkcenter.org/surveys/balanced-budget-amendment/
us-trade-and-exchange-rates__question-b,2019-06-25,US,Trade and Exchange Rates,Question B,Disagree,0.980000,95.19,0.000000,0.990000,0.010000,"The existence of a multi-year trade deficit of Country A with Country B implies that B has successfully tilted the playing field in its favor in terms of such policies as tariffs, non-tariff barriers, and the exchange rate between them.",https://kentclarkcenter.org/surveys/trade-and-exchange-rates/
us-cubas-economy__question-a,2012-05-15,US,Cuba’s Economy,Question A,Agree,0.970000,94.25,0.980000,0.000000,0.010000,Cuba’s low per-capita income growth — 1.2 percent per year since 1960 —has more to do with Cuba’s own economic policies than with the U.S. embargo on trade and tourism.,https://kentclarkcenter.org/surveys/cubas-economy/
us-u-s-state-budgets__question-b,2012-10-01,US,U.S. State Budgets,Question B,Agree,0.970000,94.25,0.990000,0.000000,0.020000,"During the next two decades some U.S. states, unless they substantially increase taxes, cut spending, and/or change public-sector pensions, will require a combination of severe austerity budgets, a federal bailout, and/or default.",https://kentclarkcenter.org/surveys/u-s-state-budgets/
us-savings-behavior__question-a,2013-07-24,US,Savings Behavior,Question A,Agree,0.970000,94.25,0.990000,0.000000,0.020000,An effective way to increase savings rates of employees whose firms have defined contribution plans is to combine automatic enrollment in those plans and periodic automatic increases in their contributions (with the ability to opt out of either).,https://kentclarkcenter.org/surveys/savings-behavior/
us-fast-track-authority__question-a,2014-11-11,US,Fast-Track Authority,Question A,Agree,0.970000,94.25,0.990000,0.000000,0.020000,"By lowering bargaining costs, fast-track negotiating authority for the president makes it more likely that the U.S. can conclude major trade deals.",https://kentclarkcenter.org/surveys/fast-track-authority/
us-pricing-emissions__question-a,2021-03-09,US,Pricing Emissions,Question A,Agree,0.970000,94.25,0.990000,0.000000,0.020000,Sound policy would involve increasing significantly the currently near-zero price of emissions of carbon dioxide and other greenhouse gases.,https://kentclarkcenter.org/surveys/pricing-emissions/
us-congestion-pricing__question-a,2012-01-11,US,Congestion Pricing,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"In general, using more congestion charges in crowded transportation networks — such as higher tolls during peak travel times in cities, and peak fees for airplane takeoff and landing slots — and using the proceeds to lower other taxes would make citizens on average better off.",https://kentclarkcenter.org/surveys/congestion-pricing/
us-free-trade__question-b,2012-03-13,US,Free Trade,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"On average, citizens of the U.S. have been better off with the North American Free Trade Agreement than they would have been if the trade rules for the U.S., Canada and Mexico prior to NAFTA had remained in place.",https://kentclarkcenter.org/surveys/free-trade/
us-trade-barriers-for-sugar__question-a,2012-08-27,US,Trade Barriers for Sugar,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,The current trade barriers in the U.S. sugar industry raise the profits of sugar producers and make the typical U.S. consumer pay more for sugar and goods that use sugar as an input.,https://kentclarkcenter.org/surveys/trade-barriers-for-sugar/
us-u-s-state-budgets__question-a,2012-10-01,US,U.S. State Budgets,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"By discounting pension liabilities at high interest rates under government accounting standards, many U.S. state and local governments understate their pension liabilities and the costs of providing pensions to public-sector workers.",https://kentclarkcenter.org/surveys/u-s-state-budgets/
us-taxing-capital-and-labor__question-c,2012-10-09,US,Taxing Capital and Labor,Question C,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"Although they do not always agree about the precise likely effects of different tax policies, another reason why economists often give disparate advice on tax policy is because they hold differing views about choices between raising average prosperity and redistributing income.",https://kentclarkcenter.org/surveys/taxing-capital-and-labor/
us-carbon-taxes-ii__question-a,2012-12-04,US,Carbon Taxes II,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"The Brookings Institution recently described a US carbon tax of $20 per ton , increasing at 4% per year, which would raise an estimated $150 billion per year in federal revenues over the next decade. Given the negative externalities created by carbon dioxide emissions, a federal carbon tax at this rate would involve fewer harmful net distortions to the US economy than a tax increase that generated the same revenue by raising marginal tax rates on labor income across the board.",https://kentclarkcenter.org/surveys/carbon-taxes-ii/
us-liquidity__question-a,2014-06-03,US,Liquidity,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,There is a social value to having institutions that issue liquid liabilities that are backed by illiquid assets.,https://kentclarkcenter.org/surveys/liquidity/
us-infrastructure-revisited__question-a,2014-09-09,US,Infrastructure (revisited),Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"Because the US has underspent on new projects, maintenance, or both, the federal government has an opportunity to increase average incomes by spending more on roads, railways, bridges and airports. (The experts panel previously voted on this question on May 23, 2013. Those earlier results can be found here .)",https://kentclarkcenter.org/surveys/infrastructure-revisited/
us-primary-voting__question-b,2016-03-07,US,Primary Voting,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"One clear defect of a winner-take-all election with 3 or more candidates, and with each voter choosing only one candidate, is that a candidate who is strongly disliked by a majority, but strongly liked by a minority, can beat a candidate who is liked by a majority and disliked by relatively few.",https://kentclarkcenter.org/surveys/primary-voting/
europe-aging__question-b,2017-02-28,Europe,Aging,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"In European countries where the share of those over 65 is rising, there are net social benefits to adjusting retirement ages for state-financed (including pay-as-you-go) pension systems upwards, so that revised retirement ages better reflect longer life expectancies.",https://kentclarkcenter.org/surveys/aging/
europe-ride-sharing__question-b,2017-06-07,Europe,Ride Sharing,Question B,Agree,0.960000,93.14,0.980000,0.020000,0.000000,"Assuming that taxi and ride-sharing companies were treated as substantively similar — including requirements that they operate on an equal footing regarding safety, insurance and taxation — letting ride-sharing services compete without restrictions on prices or routes would raise consumer welfare.",https://kentclarkcenter.org/surveys/ride-sharing/
us-ride-sharing-caps__question-b,2018-08-21,US,Ride-Sharing Caps,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"To achieve a given level of congestion, it would be better to use taxes for driving that vary based on the level of congestion, rather than limiting the number of ride-sharing vehicles.",https://kentclarkcenter.org/surveys/ride-sharing-caps/
europe-doom-loops-and-europes-financial-system__question-a,2019-05-22,Europe,Doom Loops and Europe’s Financial System,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,Breaking the “doom loop” — a negative spiral that can result when banks hold sovereign bonds and governments bail out banks — would increase the stability of European economies in the event of another financial crisis.,https://kentclarkcenter.org/surveys/doom-loops-and-europes-financial-system/
us-auction-theory-2__question-a,2020-10-21,US,Auction Theory,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,The practical application of auction theory to the licensing of rights to use public assets like radiospectrum and other natural resources has generated substantially higher government revenues and better allocative efficiency worldwide than would have happened under previous arrangements.,https://kentclarkcenter.org/surveys/auction-theory-2/
us-personnel-economics__question-a,2020-12-08,US,Personnel Economics,Question A,Agree,0.960000,93.14,0.980000,0.020000,0.000000,Our understanding of labor productivity has been much enhanced by accounting for monetary and promotion-based incentives within firms and related selection effects.,https://kentclarkcenter.org/surveys/personnel-economics/
europe-banks-and-financial-crises-2__question-b,2022-10-18,Europe,Banks and Financial Crises,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"Despite repeated reforms of financial regulation (and macroprudential policies in some countries), there will always be occasional financial crises.",https://kentclarkcenter.org/surveys/banks-and-financial-crises-2/
us-the-invisible-hand__question-a,2023-02-15,US,The Invisible Hand,Question A,Agree,0.960000,93.14,0.980000,0.020000,0.000000,Adam Smith’s metaphor of the invisible hand has been foundational to the development of modern economic theory.,https://kentclarkcenter.org/surveys/the-invisible-hand/
europe-argentina-2__question-a,2023-12-07,Europe,Argentina,Question A,Agree,0.960000,93.14,0.980000,0.000000,0.020000,The fundamental cause of Argentina’s high inflation is unfunded fiscal commitments that are being financed by the central bank.,https://kentclarkcenter.org/surveys/argentina-2/
us-sustained-growth-2__question-b,2025-10-22,US,Sustained Growth,Question B,Agree,0.960000,93.14,0.980000,0.000000,0.020000,"The process of creative destruction – in which innovation continually leads to the disruptive displacement of existing jobs, products, firms, and industries – has been a substantial contributor to sustained economic growth.",https://kentclarkcenter.org/surveys/sustained-growth-2/
us-housing-in-new-york__question-c,2025-11-12,US,Housing in New York,Question C,Agree,0.960000,93.14,0.980000,0.000000,0.020000,Loosening land-use regulations and other regulation-related constraints on construction in New York (with no rent freeze) would be a substantial boost to private housing investment in the city over the next ten years.,https://kentclarkcenter.org/surveys/housing-in-new-york/
us-debt-ceiling__question-a,2013-01-15,US,Debt Ceiling,Question A,Agree,0.950000,92.07,0.970000,0.020000,0.000000,"Because all federal spending and taxes must be approved by both houses of Congress and the executive branch, a separate debt ceiling that has to be increased periodically creates unneeded uncertainty and can potentially lead to worse fiscal outcomes.",https://kentclarkcenter.org/surveys/debt-ceiling/
europe-stablecoins-2__question-a,2022-05-25,Europe,Stablecoins,Question A,Agree,0.950000,92.07,0.980000,0.000000,0.030000,Stablecoins that are not fully backed by either central bank reserves or government securities with minimal price volatility are inherently vulnerable to runs.,https://kentclarkcenter.org/surveys/stablecoins-2/
europe-trade-policy__question-c,2025-01-23,Europe,Trade Policy,Question C,Agree,0.950000,92.07,0.970000,0.000000,0.020000,Disruptions to global supply chains from new tariffs and trade wars will lead to measurably slower global growth over the next five years.,https://kentclarkcenter.org/surveys/trade-policy/
